h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	2.7670981812817477	5.090777444069843e-29	2.7670981812816917	2.7670981812815714	2.7670981812814506	2.7670981812813418	2.767098181281215	2.767098181281084	2.7670981812809723	2.7670981812808484	4.076574390508659e-29	1.8183978086416942e-29	1.537989596897226e-29	1.3021039637692634e-29	1.302161360993727e-29	9.652852519602362e-30	1.9078927625045354e-29	7.042056775802449e-29
3.552713678800501e-15	2.7670981812817512	3.491833681017443e-29	2.7670981812816278	2.7670981812813915	2.7670981812811566	2.7670981812809146	2.7670981812806605	2.7670981812804203	2.7670981812801783	2.767098181279923	5.90734751163284e-29	1.3964769073533984e-29	1.6023241690511114e-29	8.953211829514615e-30	8.947639205185782e-30	1.0577857457867192e-29	1.305298417969816e-29	8.894840264833523e-29
7.105427357601002e-15	2.7670981812817645	4.699746691775669e-29	2.767098181281514	2.767098181281028	2.76709818128054	2.76709818128007	2.767098181279575	2.767098181279089	2.7670981812786013	2.7670981812781132	2.3293513856167033e-29	2.5410316680606954e-29	1.581647316276271e-29	1.513769306236888e-29	1.5734272455215847e-29	1.2980619875848307e-29	1.627681525100372e-29	3.1389181145098104e-29
1.4210854715202004e-14	2.7670981812817526	2.571323102490372e-29	2.767098181281273	2.767098181280294	2.767098181279332	2.767098181278364	2.767098181277388	2.7670981812764186	2.7670981812754425	2.7670981812744753	1.3312404836191626e-29	1.521421597943319e-29	9.092793723086762e-30	8.454020284906287e-30	8.564395770349074e-30	1.0150152946051878e-29	9.458503072425343e-30	1.7129229434628012e-29
2.842170943040401e-14	2.767098181281745	5.463883531872178e-29	2.7670981812807853	2.767098181278844	2.7670981812768995	2.7670981812749607	2.767098181273016	2.7670981812710815	2.7670981812691324	2.767098181267202	2.694982817434638e-29	2.9443749681615974e-29	1.8310361668112088e-29	1.752846591854479e-29	1.8216983768323555e-29	1.501727299493526e-29	1.882787690675509e-29	3.640643634427334e-29
5.684341886080802e-14	2.7670981812817423	5.376418233129302e-29	2.7670981812798137	2.7670981812759567	2.7670981812720514	2.7670981812681825	2.7670981812642803	2.767098181260408	2.767098181256527	2.767098181252645	2.648194683573377e-29	2.894512278084874e-29	1.7995662628501487e-29	1.722832645529228e-29	1.7904397082961741e-29	1.4756374831865643e-29	1.8499969511890616e-29	3.57997311896553e-29
1.1368683772161603e-13	2.767098181281742	7.81513662026959e-29	2.7670981812778717	2.767098181270124	2.767098181262335	2.7670981812545934	2.7670981812468	2.7670981812390676	2.767098181231278	2.7670981812235285	3.844772317877919e-29	4.2039840812772935e-29	2.613102560675284e-29	2.501823726310154e-29	2.599915188172017e-29	2.1423797030666135e-29	2.6857831202182984e-29	5.200802414981658e-29
2.2737367544323206e-13	2.767098181281718	3.0298628710385337e-28	2.767098181273994	2.767098181258488	2.767098181242916	2.7670981812274382	2.7670981812118582	2.7670981811963697	2.767098181180807	2.7670981811652973	1.4896340855529336e-28	1.629137057336879e-28	1.0125154158378464e-28	9.694273567469325e-29	1.007419051595128e-28	8.300487138635929e-29	1.040564487701065e-28	2.0156856556211692e-28
4.547473508864641e-13	2.767098181281642	6.970524517725572e-28	2.7670981812661717	2.767098181235217	2.767098181204085	2.7670981811731137	2.7670981811419586	2.7670981811109825	2.7670981810798563	2.767098181048815	5.083334146170194e-28	2.4837719902135632e-28	1.8318083504181596e-28	1.6232808508062478e-28	1.6569168654976779e-28	1.3180962567679815e-28	1.6474291942093632e-28	4.457435893285835e-28
9.094947017729282e-13	2.7670981812815865	3.623436277223359e-27	2.7670981812506676	2.767098181188688	2.7670981811263906	2.7670981810644633	2.7670981810021633	2.767098180940207	2.7670981808779618	2.7670981808159367	1.7800662466748828e-27	1.9472510282959716e-27	1.2100489956532603e-27	1.1585988926684428e-27	1.2039782330410262e-27	9.918777932420493e-28	1.2434041744036574e-27	2.4096615632154458e-27
1.8189894035458565e-12	2.767098181281415	1.756140675964249e-26	2.767098181219574	2.7670981810956117	2.7670981809710202	2.7670981808471704	2.7670981807225563	2.767098180598644	2.7670981804741883	2.767098180350105	8.628448954972064e-27	9.438439975415918e-27	5.865322615952193e-27	5.615898653253867e-27	5.835880376492963e-27	4.807895991627596e-27	6.0271380378502434e-27	1.1679456003239195e-26
3.637978807091713e-12	2.7670981812810815	7.090012687279452e-26	2.7670981811574005	2.7670981809094606	2.7670981806603043	2.767098180412584	2.767098180163358	2.7670981799155063	2.7670981796666085	2.767098179418465	3.4839612329123025e-26	3.8108696295264006e-26	2.3682390481652505e-26	2.2675158104083742e-26	2.3563450385064864e-26	1.9413145878408242e-26	2.4336254954423757e-26	4.715587307131136e-26
7.275957614183426e-12	2.7670981812804354	2.6703088291817618e-25	2.76709818103304	2.767098180537159	2.7670981800388152	2.7670981795434075	2.7670981790449556	2.7670981785492916	2.7670981780514965	2.7670981775551917	1.2927012179745928e-25	1.4207353701651862e-25	8.805263903671259e-26	8.437291857420218e-26	8.763932995114369e-26	7.20337597202302e-26	9.025183618603743e-26	1.7635145001577873e-25
1.4551915228366852e-11	2.7670981812791227	1.2146843299428038e-24	2.7670981807843438	2.7670981797925553	2.7670981787958717	2.7670981778050896	2.7670981768081435	2.767098175816779	2.767098174821199	2.7670981738286167	5.8663591850853215e-25	6.4522988674181615e-25	3.9972594468589714e-25	3.83072038885122e-25	3.9787177459118885e-25	3.2690308237196937e-25	4.0954038369141545e-25	8.013157484669573e-25
2.9103830456733704e-11	2.767098181276521	4.526894518198698e-24	2.7670981802868746	2.7670981783033772	2.767098176309959	2.7670981743284253	2.7670981723345256	2.767098170351818	2.7670981683606524	2.7670981663754506	2.170148913409639e-24	2.392610826494648e-24	1.4803476985949876e-24	1.4192816630302147e-24	1.4737451910435205e-24	1.2094765257436883e-24	1.5147297602790256e-24	2.9762746724036687e-24
5.820766091346741e-11	2.767098181271268	1.7871893613926873e-23	2.767098179292058	2.7670981753249775	2.767098171338162	2.7670981673750883	2.767098163387301	2.767098159421825	2.7670981554394736	2.767098151469162	8.566039920027744e-24	9.444704817949753e-24	5.843411602840725e-24	5.6024255719397e-24	5.817375698998589e-24	4.774080975617892e-24	5.978935472076961e-24	1.1749172299358708e-23
1.1641532182693481e-10	2.7670981812610616	7.351468223020144e-23	2.767098177302297	2.767098169368337	2.767098161394441	2.7670981534685466	2.767098145492864	2.767098137561991	2.7670981295971075	2.76709812165653	3.475518918526276e-23	3.84923120006345e-23	2.3760740275067693e-23	2.280075804325097e-23	2.3663363254826374e-23	1.937835888197778e-23	2.4252452017794525e-23	4.80374473330722e-23
