h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	11.688800334171956	3.3384753829517955e-25	11.688800334172088	11.688800334172074	11.688800334172056	11.68880033417213	11.688800334171829	11.688800334171733	11.688800334171773	11.68880033417191	5.600440756913978e-24	4.70789237722694e-24	3.604433014332706e-24	1.2601595492834732e-24	9.33908734185537e-25	1.5252821858336485e-24	2.7537825909752746e-24	1.407394047841768e-23
3.552713678800501e-15	11.688800334175646	1.1926649786189757e-24	11.688800334175873	11.688800334175863	11.688800334175836	11.688800334176015	11.688800334175426	11.688800334175227	11.688800334175285	11.68880033417556	2.3752248963781844e-23	1.8708897371830766e-23	1.4155695583363155e-23	4.600343187334229e-24	3.373310840976406e-24	5.63581732585897e-24	9.933725201504445e-24	5.1638016297604974e-23
7.105427357601002e-15	11.688800334182986	4.5968425016148484e-24	11.68880033418342	11.688800334183414	11.688800334183343	11.68880033418377	11.688800334182556	11.688800334182128	11.688800334182305	11.688800334182824	9.976436267008975e-23	7.58009592768411e-23	5.982140331493157e-23	1.774716552931836e-23	1.3226626422081485e-23	2.1907350852417936e-23	4.1126678918476174e-23	2.1589778158019523e-22
1.4210854715202004e-14	11.688800334197142	1.9261305461632408e-23	11.688800334197936	11.688800334197952	11.688800334197879	11.688800334199067	11.688800334196213	11.688800334195271	11.68880033419589	11.688800334196843	4.166665757120769e-22	3.054375976105508e-22	2.2040698654127226e-22	6.027022538660172e-23	5.602088210353131e-23	8.485609054875667e-23	1.7878963114230188e-22	9.488744376565943e-22
2.842170943040401e-14	11.688800334226318	7.729396879688927e-23	11.688800334227858	11.688800334227905	11.688800334227771	11.688800334230258	11.688800334224625	11.688800334222702	11.688800334223622	11.688800334225695	1.7307388705116338e-21	1.2609366970136861e-21	9.095670442751666e-22	2.432234699529495e-22	2.2370161359899204e-22	3.430531236377223e-22	6.657781262798291e-22	3.610452917267684e-21
5.684341886080802e-14	11.688800334284362	3.073370991160825e-22	11.68880033428742	11.688800334287514	11.688800334287253	11.688800334292289	11.68880033428098	11.688800334277143	11.688800334278984	11.688800334283123	6.962995386050217e-21	5.0626336325321846e-21	3.6408823857395086e-21	9.680567301410082e-22	8.906869960124425e-22	1.3672521460492597e-21	2.6560137419038655e-21	1.448211124944461e-20
1.1368683772161603e-13	11.688800334400506	1.2279600228120155e-21	11.688800334406588	11.688800334406782	11.688800334406292	11.688800334416408	11.688800334393813	11.688800334386116	11.688800334389684	11.68880033439802	2.8001335375159946e-20	2.0338964334301755e-20	1.4572751067912936e-20	3.870864556422568e-21	3.56055643678135e-21	5.4714850122420304e-21	1.055738307359728e-20	5.760071911517556e-20
2.2737367544323206e-13	11.688800334632694	4.910393418081829e-21	11.688800334644846	11.688800334645208	11.688800334644332	11.688800334664474	11.688800334619295	11.688800334603952	11.688800334611013	11.688800334627718	1.1206296272921028e-19	8.156735542166367e-20	5.796487328476208e-20	1.548641348168081e-20	1.4240957738182057e-20	2.1901250310281216e-20	4.216815561387537e-20	2.3055217320408485e-19
4.547473508864641e-13	11.68880033509708	1.96251266338324e-20	11.688800335121362	11.688800335122085	11.688800335120341	11.688800335160682	11.688800335070304	11.688800335039595	11.68880033505374	11.688800335087139	4.48529056296704e-19	3.263828215116778e-19	2.3193105334124183e-19	6.190024938830171e-20	5.692657010241591e-20	8.755478123590186e-20	1.6865251813682394e-19	9.226924306458906e-19
9.094947017729282e-13	11.688800336025862	7.846420179379356e-20	11.688800336074397	11.68880033607585	11.688800336072362	11.688800336153108	11.688800335972315	11.688800335910898	11.688800335939202	11.688800336005992	1.794593228989343e-18	1.30570158905638e-18	9.27827162432011e-19	2.474994124135325e-19	2.276218480402117e-19	3.5010342641143483e-19	6.745404879731509e-19	3.691577294073176e-18
