h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	11.688800334168809	1.7025641820785015e-24	11.688800334168716	11.688800334169741	11.688800334170375	11.688800334171226	11.68880033417225	11.688800334173019	11.688800334173855	11.688800334174408	3.1027281603975555e-25	3.6268361418291455e-25	1.6957052191250254e-25	8.882637284264004e-26	1.4971675489062117e-25	6.108105157664672e-26	1.3505035421046731e-25	4.812277934110081e-25
3.552713678800501e-15	11.688800334170526	2.3710320083489246e-24	11.688800334169192	11.688800334171056	11.68880033417267	11.688800334174196	11.688800334176028	11.688800334177742	11.688800334178906	11.688800334181115	4.149273583377604e-25	5.08680334534399e-25	2.4856027422291547e-25	1.2088401750112593e-25	2.0861879509855865e-25	7.912465897766044e-26	1.7267594320993243e-25	6.217005477316277e-25
7.105427357601002e-15	11.688800334170894	3.453138537470565e-24	11.688800334170706	11.688800334173033	11.688800334176497	11.68880033418095	11.68880033418442	11.688800334187388	11.688800334190972	11.68880033419402	5.232574978351096e-25	6.22704376807232e-25	3.4629403892624877e-25	1.7755503799439606e-25	2.4262015064403952e-25	1.1900107324415015e-25	1.9823948161677352e-25	6.62678554589432e-25
1.4210854715202004e-14	11.688800334172797	1.388912395826018e-23	11.688800334171743	11.688800334178016	11.68880033418506	11.688800334191795	11.688800334199518	11.688800334205826	11.688800334212868	11.688800334218875	2.47017881066604e-24	2.9259581480539105e-24	1.4602208432591654e-24	6.926967804541233e-25	1.4155936920008158e-24	4.47701851939485e-25	1.1491231950704564e-24	3.772358444980033e-24
2.842170943040401e-14	11.688800334174346	1.594802490961836e-23	11.688800334176502	11.688800334190237	11.688800334201595	11.688800334215783	11.688800334229427	11.688800334243455	11.688800334256243	11.688800334271045	2.680344883646101e-24	3.0733101024796327e-24	2.661722460804098e-24	8.686723266864047e-25	2.22878281914669e-24	5.017858391110441e-25	1.1681009368309918e-24	3.478073290673056e-24
5.684341886080802e-14	11.688800334163115	1.6052930743139607e-23	11.688800334183815	11.688800334208677	11.688800334236573	11.68880033426342	11.688800334289821	11.688800334320213	11.688800334344892	11.688800334370612	3.125981463736828e-24	3.62917722273413e-24	1.8806164780110522e-24	8.607461984210948e-25	1.8724780092152332e-24	5.43675431508328e-25	1.4943801431116444e-24	4.771242039398449e-24
1.1368683772161603e-13	11.688800334168393	6.150080745541886e-23	11.688800334194992	11.688800334252281	11.688800334305183	11.688800334359623	11.688800334415872	11.688800334469219	11.688800334522556	11.688800334580892	1.2673465269540874e-23	1.489439976868694e-23	7.73666179685047e-24	3.489056550186614e-24	7.524066844826384e-24	2.1750289703178387e-24	5.899906748759367e-24	1.9416846216335546e-23
2.2737367544323206e-13	11.688800334207093	2.516038030706544e-22	11.688800334225485	11.688800334334076	11.688800334438156	11.688800334550512	11.688800334660714	11.688800334769388	11.68880033488062	11.688800334982403	5.305137011007278e-23	6.171626712848564e-23	3.2416069668315985e-23	1.500224997416786e-23	3.0604936552621433e-23	9.530376935902272e-24	2.4626825345961425e-23	7.872437496868011e-23
4.547473508864641e-13	11.68880033416717	2.127706313800417e-23	11.688800334272255	11.688800334494912	11.688800334714509	11.68880033493289	11.688800335150715	11.688800335372493	11.688800335590171	11.688800335811862	8.485920493277262e-23	2.0945202565190714e-23	7.428388318421722e-24	1.1279261074490775e-23	1.716556663128489e-24	1.3347867468311938e-23	1.842521070385042e-24	1.0055139978994753e-23
9.094947017729282e-13	11.688800334273468	1.3053044048335552e-21	11.688800334392017	11.688800334835186	11.688800335262671	11.688800335702494	11.688800336145194	11.688800336575289	11.688800337009829	11.688800337432912	3.016794914548489e-22	3.4883062540114558e-22	1.889028304242075e-22	8.509150886908487e-23	1.8245955499982983e-22	5.318479421620936e-23	1.434260942140383e-22	4.427273769997375e-22
