h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	11.351534884504051	2.924380514605725e-29	11.351534884503929	11.351534884503671	11.351534884503419	11.351534884503158	11.351534884502907	11.35153488450266	11.351534884502408	11.351534884502149	3.3306232997190584e-29	2.675418716167768e-29	2.365225241829476e-29	2.235623858715532e-29	2.235623858715532e-29	2.3652252418294763e-29	2.675418716167768e-29	3.330623299719058e-29
3.552713678800501e-15	11.35153488450406	1.5853926685392926e-29	11.351534884503796	11.351534884503296	11.351534884502795	11.351534884502273	11.351534884501774	11.351534884501266	11.351534884500756	11.351534884500236	1.8056288279408993e-29	1.4504231568705586e-29	1.2822581531754215e-29	1.2119974324534807e-29	1.2119974324534807e-29	1.2822581531754215e-29	1.4504231568705586e-29	1.8056288279409e-29
7.105427357601002e-15	11.351534884504058	6.268025389545631e-29	11.351534884503574	11.351534884502538	11.35153488450153	11.351534884500504	11.35153488449949	11.351534884498472	11.351534884497449	11.351534884496436	7.138753421924623e-29	5.73440848646404e-29	5.069549531511688e-29	4.7917659955384444e-29	4.791765995538445e-29	5.069549531511687e-29	5.734408486464041e-29	7.138753421924623e-29
1.4210854715202004e-14	11.351534884504082	2.5402935251874883e-28	11.351534884503062	11.351534884501024	11.351534884498998	11.351534884496955	11.351534884494924	11.351534884492892	11.351534884490855	11.351534884488812	2.8931805422919182e-28	2.324030271677114e-28	2.0545774865551304e-28	1.9419978982507393e-28	1.9419978982507393e-28	2.0545774865551304e-28	2.3240302716771145e-28	2.893180542291918e-28
2.842170943040401e-14	11.351534884504126	3.7444680578295404e-28	11.351534884502097	11.351534884498012	11.351534884493963	11.351534884489856	11.35153488448583	11.351534884481714	11.351534884477676	11.35153488447361	4.2589841511808705e-28	3.4800553442224277e-28	3.917206018696338e-28	4.140091170100197e-28	3.5101383520529895e-28	4.567365612365816e-28	3.9049790794932326e-28	4.256383334252057e-28
5.684341886080802e-14	11.35153488450413	4.224269960065619e-28	11.351534884500106	11.351534884491944	11.351534884483877	11.351534884475644	11.351534884467595	11.351534884459351	11.351534884451329	11.351534884443144	4.804714189672471e-28	3.925976406508803e-28	4.419141906569968e-28	4.670586713970928e-28	3.959914136601423e-28	5.152610478973386e-28	4.405348253858408e-28	4.801780113949474e-28
1.1368683772161603e-13	11.351534884504224	1.2759800086040934e-27	11.351534884496129	11.35153488447987	11.351534884463694	11.351534884447231	11.35153488443115	11.35153488441466	11.35153488439858	11.351534884382222	1.4513085837400554e-27	1.1858776679317047e-27	1.3348428914993554e-27	1.4107941329076939e-27	1.1961288747780855e-27	1.5563938918316366e-27	1.3306763904774124e-27	1.4504223188938998e-27
2.2737367544323206e-13	11.351534884504414	1.1076206303850997e-26	11.35153488448823	11.35153488445572	11.351534884423321	11.351534884390434	11.351534884358244	11.351534884325265	11.351534884293095	11.351534884260358	1.259815449745213e-26	1.0294068568919685e-26	1.1587168411557204e-26	1.2246466843507305e-26	1.0383054666764726e-26	1.3510352607201068e-26	1.1551000897510709e-26	1.259046123250308e-26
4.547473508864641e-13	11.351534884504744	4.115940567653477e-26	11.35153488447238	11.351534884407378	11.351534884342586	11.351534884276806	11.351534884212427	11.351534884146425	11.351534884082144	11.351534884016706	4.681499581278189e-26	3.8252966102926314e-26	4.3058151158469795e-26	4.550811740847562e-26	3.858364023451075e-26	5.020474235835427e-26	4.2923751947935584e-26	4.678640748530515e-26
9.094947017729282e-13	11.35153488450547	1.56022409093404e-25	11.351534884440731	11.351534884310746	11.351534884181135	11.351534884049599	11.35153488392084	11.351534883788814	11.351534883660236	11.351534883529363	1.7746097904839328e-25	1.4500500743987811e-25	1.6321995821923146e-25	1.725070125447357e-25	1.4625848945174513e-25	1.9031044598221142e-25	1.6271049292780823e-25	1.77352609657447e-25
1.8189894035458565e-12	11.351534884506869	7.104073640326847e-25	11.351534884377388	11.351534884117445	11.351534883858228	11.351534883595127	11.351534883337601	11.351534883073539	11.351534882816402	11.351534882554644	8.080223031869481e-25	6.602424978916609e-25	7.4317952754231085e-25	7.854657082348555e-25	6.659499014440554e-25	8.665290009537676e-25	7.408598101578075e-25	8.075288714176829e-25
3.637978807091713e-12	11.351534884509697	2.8070398297885393e-24	11.351534884250675	11.351534883730828	11.351534883212388	11.35153488268626	11.351534882171176	11.351534881643051	11.351534881128797	11.351534880605277	3.192746729887332e-24	2.608822884915505e-24	2.936532812177768e-24	3.1036186272512564e-24	2.631374606515495e-24	3.423924838752356e-24	2.927366889325856e-24	3.190797027927957e-24
7.275957614183426e-12	11.351534884515353	1.1253524522301833e-23	11.3515348839973	11.351534882957624	11.351534881920724	11.351534880868485	11.3515348798383	11.351534878782047	11.351534877753537	11.351534876706484	1.2799837478968992e-23	1.0458865598622618e-23	1.1772666586948981e-23	1.244251968176592e-23	1.0549276268735813e-23	1.3726638904985054e-23	1.1735920069678754e-23	1.2792021053075e-23
1.4551915228366852e-11	11.351534884526629	4.555206635024788e-23	11.351534883490531	11.351534881411196	11.351534879337404	11.351534877232881	11.351534875172563	11.351534873059995	11.35153487100305	11.351534868908898	5.1811238777584676e-23	4.233544244317632e-23	4.765345189636251e-23	5.0364886217187966e-23	4.270140715366369e-23	5.556274969025234e-23	4.750470918117878e-23	5.1779599414268835e-23
2.9103830456733704e-11	11.351534884549212	1.8242571748293426e-22	11.351534882476997	11.351534878318345	11.351534874170733	11.351534869961755	11.351534865841062	11.351534861615967	11.351534857502026	11.351534853313794	2.0749228662881676e-22	1.695438666441941e-22	1.9084129106000746e-22	2.0169997192820798e-22	1.7100947249335065e-22	2.2251623888218644e-22	1.902456101455761e-22	2.0736557813859785e-22
5.820766091346741e-11	11.3515348845944	7.315103323622889e-22	11.351534880449933	11.351534872132639	11.35153486383744	11.35153485541945	11.351534847178096	11.351534838727849	11.351534830499995	11.35153482212349	8.320249669219808e-22	6.798552964468085e-22	7.6525600763946e-22	8.087983182331216e-22	6.857322409731687e-22	8.922696323008405e-22	7.628673820130416e-22	8.315168775414266e-22
