h1	h2	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	1e-15	4.232512813981532	1.3366582341727079e-24	4.232512813977274	4.232512813964504	4.232512813949455	4.23251281396734	4.2325128139528765	4.2325128139383885	4.232512813975548	4.232512813935626	1.2282221630332292e-24	8.1079434764210475e-25	7.925234067787325e-25	7.643898551846198e-25	8.38799040805742e-25	8.926315149616477e-25	9.63322554567131e-25	1.5168596423612318e-24
3.552713678800501e-15	1e-15	4.232512813984281	4.477468260241759e-25	4.2325128139735835	4.232512813942625	4.232512813912348	4.232512813950099	4.232512813919999	4.232512813891771	4.2325128139697785	4.232512813884067	4.665984649631148e-25	3.5183108200049107e-25	3.615624005712338e-25	3.6443813707869097e-25	3.501191987111789e-25	4.3857419647169185e-25	4.4198048201649e-25	4.955944617258218e-25
7.105427357601002e-15	1e-15	4.232512813983763	1.2691611108892215e-24	4.232512813962052	4.232512813900967	4.2325128138398505	4.232512813915832	4.232512813855125	4.2325128137988	4.2325128139543295	4.232512813784332	1.3225970385769241e-24	9.972830647223605e-25	1.024866981279245e-24	1.0330184024134555e-24	9.92430644624895e-25	1.2431608267197524e-24	1.2528161160367755e-24	1.4047876635545983e-24
1.4210854715202004e-14	1e-15	4.232512813985281	3.0931052991935986e-24	4.2325128139396	4.232512813818052	4.2325128136967	4.232512813847312	4.232512813725936	4.232512813615762	4.232512813927632	4.232512813586995	2.842177891057102e-24	1.8762255220761135e-24	1.8339454967405942e-24	1.7688428135743555e-24	1.9410300193007498e-24	2.0656015117162227e-24	2.2291847101877112e-24	3.510101892892869e-24
2.842170943040401e-14	1e-15	4.232512813982639	9.393960717072187e-25	4.232512813896581	4.232512813652441	4.2325128134109	4.232512813711883	4.232512813470809	4.2325128132478715	4.2325128138677846	4.232512813189155	9.789477882916394e-25	7.381598642933002e-25	7.585766755503689e-25	7.646101199465207e-25	7.345682443336887e-25	9.20151418997243e-25	9.272979828005198e-25	1.0397828939159308e-24
5.684341886080802e-14	1e-15	4.232512813982238	1.9148259386902687e-25	4.232512813809653	4.232512813322582	4.2325128128384915	4.232512813441012	4.232512812958349	4.232512812511307	4.2325128137532895	4.232512812392686	1.7594861544438923e-25	1.161501128797869e-25	1.1353271446072783e-25	1.0950245055611547e-25	1.2016191720671605e-25	1.2787367292873067e-25	1.3800049763297827e-25	2.1729729517159935e-25
1.1368683772161603e-13	1e-15	4.232512813984563	6.026409585891046e-25	4.232512813636647	4.232512812661228	4.232512811692395	4.2325128128986105	4.2325128119323	4.232512811038788	4.232512813525635	4.23251281080126	6.280141585780744e-25	4.735439944956068e-25	4.866417783568187e-25	4.905123509768245e-25	4.712399000241297e-25	5.902951373682674e-25	5.948797978653014e-25	6.670410690298766e-25
2.2737367544323206e-13	1e-15	4.232512813983067	1.6935647001043892e-24	4.232512813288447	4.2325128113383945	4.232512809401811	4.23251281181232	4.23251280988073	4.232512808095234	4.2325128130657985	4.232512807622073	1.7648694383860545e-24	1.33077146781023e-24	1.3675793615997223e-24	1.3784565930009516e-24	1.3242964132906451e-24	1.6588700005234643e-24	1.6717539890228817e-24	1.8745443566824272e-24
4.547473508864641e-13	1e-15	4.2325128139837105	4.664671004620678e-25	4.232512812594098	4.232512808692827	4.232512804819939	4.232512809641645	4.2325128057777945	4.232512802205229	4.232512812148425	4.232512801257921	4.861069255678963e-25	3.665411235418554e-25	3.766793080995768e-25	3.796752790196566e-25	3.647576664900532e-25	4.569109636850561e-25	4.604596658736048e-25	5.163152436368605e-25
9.094947017729282e-13	1e-15	4.232512813983155	6.010138506947937e-25	4.232512811204616	4.232512803402115	4.232512795656658	4.232512805299636	4.232512797573027	4.232512790428335	4.232512810312537	4.232512788533291	6.263185439992815e-25	4.7226544354289485e-25	4.853278638809098e-25	4.8918798610059715e-25	4.699675700397245e-25	5.887013627263413e-25	5.932736448126796e-25	6.652400832625149e-25
