h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	4.232512813982715	5.519439853516755e-25	4.232512813979841	4.232512813973559	4.232512813967377	4.232512813959842	4.232512813954137	4.232512813948406	4.232512813944317	4.232512813934921	6.389263953220676e-25	5.17540515942106e-25	5.736921771508847e-25	5.374706255288818e-25	4.633710010862822e-25	2.173433509912659e-24	1.913442658200074e-24	1.4213690286035527e-24
3.552713678800501e-15	4.2325128139830746	9.386694795290529e-25	4.232512813976681	4.232512813964302	4.232512813950526	4.23251281393659	4.232512813923291	4.232512813908315	4.232512813898382	4.2325128138837815	1.0697180467608884e-24	8.863472436136264e-25	8.865208239810585e-25	7.349634753524838e-25	7.280327269862383e-25	1.7495431148458306e-24	1.7642518228691687e-24	1.0860233294372956e-24
7.105427357601002e-15	4.232512813984676	5.936297817976231e-25	4.232512813972808	4.232512813944976	4.23251281391764	4.2325128138893335	4.23251281386189	4.232512813836224	4.232512813810412	4.232512813783217	9.129026188131697e-25	3.9478673605849744e-25	4.3281055872397395e-25	3.8987215802416876e-25	3.908155139193687e-25	8.388268763053909e-25	7.779410405759483e-25	9.976878834511749e-25
1.4210854715202004e-14	4.23251281398026	1.6211434852312126e-25	4.2325128139550685	4.232512813904093	4.232512813851906	4.232512813793938	4.2325128137422405	4.232512813687618	4.23251281363804	4.232512813584634	1.875790519949669e-25	1.5523718384861716e-25	2.725514090436664e-25	4.286223819302779e-25	1.619024506507718e-25	6.624291913698451e-25	1.8850469423474453e-24	5.075288006635777e-25
2.842170943040401e-14	4.23251281398021	3.6467630230962576e-24	4.232512813928856	4.23251281382841	4.232512813720386	4.232512813607834	4.232512813499403	4.232512813389052	4.232512813294529	4.2325128131854814	4.221466697306452e-24	3.419454992863615e-24	3.790456049521813e-24	3.551135722459766e-24	3.0615502253546203e-24	1.4360147347303063e-23	1.264235523518394e-23	9.391163149251555e-24
5.684341886080802e-14	4.232512813973967	3.400529126712688e-23	4.232512813870554	4.23251281367185	4.232512813453871	4.23251281323138	4.232512813015379	4.232512812790489	4.232512812609001	4.232512812385811	3.936428106438901e-23	3.1885692124966275e-23	3.5345198243727503e-23	3.311358698290602e-23	2.854830612320096e-23	1.3390532647479178e-22	1.1788727958251222e-22	8.757060335559359e-23
1.1368683772161603e-13	4.232512813966145	4.577299684234835e-23	4.232512813760046	4.232512813359035	4.232512812933457	4.23251281246854	4.23251281205166	4.232512811608447	4.232512811210479	4.232512810793933	5.296295752273737e-23	4.3831228949511364e-23	7.695490805833325e-23	1.2102155739692063e-22	4.571316746431797e-23	1.8703692523877267e-22	5.322431266930254e-22	1.433007898548945e-22
2.2737367544323206e-13	4.2325128139497075	2.1736765272346966e-22	4.23251281353769	4.232512812735809	4.232512811883466	4.2325128109513175	4.2325128101207445	4.232512809228832	4.23251280843683	4.232512807608616	2.5151147078399634e-22	2.0814654949412448e-22	3.65444888561778e-22	5.747094067471666e-22	2.1708353386817154e-22	8.882044047015962e-22	2.5275259893060906e-21	6.805094372881205e-22
4.547473508864641e-13	4.2325128139177	8.770593710701874e-22	4.232512813092924	4.232512811489043	4.23251280978418	4.2325128079194	4.2325128062586845	4.23251280447865	4.232512802889013	4.232512801228344	1.014826675537505e-21	8.39853030119397e-22	1.4745380009718387e-21	2.3189019364856595e-21	8.759129764644846e-22	3.583826695503781e-21	1.0198345185079183e-20	2.7457957593835e-21
9.094947017729282e-13	4.232512813851664	3.46300860335919e-21	4.232512812202553	4.232512808994683	4.232512805583953	4.232512801854238	4.2325127985324675	4.23251279497543	4.23251279179908	4.232512788474736	4.006973329543893e-21	3.3161019251318183e-21	5.8221118795124835e-21	9.156024804337872e-21	3.4584821431064815e-21	1.415049321499648e-20	4.026746453077854e-20	1.0841585702698386e-20
1.8189894035458565e-12	4.232512813720022	1.3393680974511834e-20	4.232512810423927	4.232512804005557	4.232512797182162	4.232512789724891	4.2325127830813996	4.232512775962187	4.23251276960831	4.232512762973324	1.549754233854033e-20	1.2825498389203212e-20	2.2517850240529102e-20	3.541223521797221e-20	1.3376174242212666e-20	5.47290559918948e-20	1.5574017721312247e-19	4.1931383023107496e-20
3.637978807091713e-12	4.232512813455697	5.501891101645855e-20	4.232512806862641	4.232512794027821	4.232512780378311	4.232512765465823	4.232512752180768	4.232512737942348	4.232512725233531	4.232512711960834	6.366120743957967e-20	5.2684915816656056e-20	9.249941080597861e-20	1.4546730074124244e-19	5.49469964062487e-20	2.248174394599241e-19	6.3975355005710945e-19	1.722468256288668e-19
7.275957614183426e-12	4.2325128129286655	2.21791616219574e-19	4.232512799740365	4.232512774073095	4.232512746776176	4.232512716955054	4.232512690378051	4.232512661902152	4.232512636476118	4.232512609932769	2.566303445062767e-19	2.1238284098121873e-19	3.7288258605990048e-19	5.864061491302175e-19	2.2150171485050865e-19	9.062815372199404e-19	2.5789673264694372e-18	6.9435946911943e-19
