h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	5.4487017686468215	4.1252657469122557e-25	5.448701768646101	5.448701768646857	5.448701768647404	5.448701768647454	5.448701768647795	5.448701768648186	5.448701768648648	5.448701768648965	7.307952242416418e-26	8.603030972010981e-26	4.009037619468393e-26	2.0102490548721262e-26	3.9245768594075043e-26	1.346439827698082e-26	3.4060748319888547e-26	1.178261405464658e-25
3.552713678800501e-15	5.448701768646854	7.64584486574062e-25	5.44870176864631	5.448701768647599	5.448701768647341	5.448701768648589	5.448701768649833	5.448701768649883	5.448701768651315	5.448701768651117	1.3664773801460437e-25	1.6530200397211702e-25	7.613838979764447e-26	3.6848558646890113e-26	7.730975385976083e-26	2.417728601950073e-26	6.396833525388554e-26	2.212565691699879e-25
7.105427357601002e-15	5.448701768648793	1.7785299482559544e-24	5.4487017686474175	5.4487017686484265	5.448701768649181	5.448701768651242	5.448701768651996	5.4487017686535575	5.44870176865554	5.448701768657075	3.3761130328488916e-25	4.0750759930613023e-25	1.8947146895688817e-25	9.029120882496851e-26	1.9338926743752164e-25	5.87129157337631e-26	1.5850085214737312e-25	5.459262171650464e-25
1.4210854715202004e-14	5.4487017686479415	3.871190018630241e-24	5.448701768647819	5.448701768650416	5.448701768653145	5.4487017686560115	5.448701768659505	5.448701768661976	5.448701768666023	5.448701768666375	7.725901868686122e-25	9.170805162790447e-25	4.352703174955797e-25	2.0409504868417798e-25	4.416676109339971e-25	1.3159720651257903e-25	3.631906278253796e-25	1.2704148626215505e-24
2.842170943040401e-14	5.4487017686485535	2.300725339872705e-23	5.448701768648097	5.448701768655698	5.448701768660128	5.448701768666356	5.448701768673358	5.448701768678157	5.448701768684535	5.448701768689028	7.131302736605086e-24	3.432656341543964e-24	3.2416052587533416e-24	7.073651271511072e-25	1.645806524129735e-24	4.46528497536721e-25	1.2340883295076884e-24	4.393145625360605e-24
5.684341886080802e-14	5.448701768643969	1.900721122933314e-23	5.448701768651191	5.448701768663056	5.448701768673787	5.448701768685755	5.448701768696724	5.448701768709341	5.448701768716866	5.448701768735794	4.480271577896267e-24	6.372884033425689e-24	2.5009121297574856e-24	1.2624427491067697e-24	6.2807421464123356e-24	7.269033123123298e-25	4.2649356042388184e-24	7.541048862500892e-24
1.1368683772161603e-13	5.448701768658604	2.826008200722017e-23	5.448701768656117	5.448701768680996	5.448701768703065	5.4487017687279655	5.448701768751899	5.448701768773189	5.448701768797237	5.448701768813926	7.136423077884011e-24	8.56487466135963e-24	4.095208407451634e-24	1.8657376157963857e-24	4.2525835130974e-24	1.1817971002661696e-24	3.384406209247781e-24	1.149273815452741e-23
2.2737367544323206e-13	5.448701768662939	6.1837473726010304e-24	5.448701768671676	5.448701768716715	5.448701768761631	5.44870176880788	5.4487017688520725	5.448701768900591	5.448701768946928	5.448701768988569	1.5056387099813305e-24	1.7979597006291343e-24	8.823256425456695e-25	3.985999615322956e-25	8.851839684036761e-25	2.508261163157538e-25	7.0192043584207175e-25	2.400996268815234e-24
4.547473508864641e-13	5.4487017686442085	2.1129416331177325e-23	5.44870176868857	5.448701768786144	5.448701768873789	5.448701768970564	5.448701769058102	5.448701769153908	5.448701769243095	5.448701769334741	2.900198700068486e-22	3.391032070753094e-23	1.505597832718237e-23	9.405214318158699e-24	4.065793496521636e-24	2.062378236130184e-23	5.549762245881137e-24	5.978307473757344e-23
9.094947017729282e-13	5.4487017686612145	8.250548854060312e-23	5.448701768734132	5.448701768921547	5.448701769103893	5.448701769296933	5.448701769476601	5.448701769664257	5.448701769852802	5.448701770029536	2.2184083906309153e-23	2.64418713246732e-23	1.2768928641784818e-23	5.767914080858031e-24	1.3243628004045818e-23	3.636907339620118e-24	1.0539043174346875e-23	3.598363075140223e-23
1.8189894035458565e-12	5.4487017687238435	3.0626435725081535e-22	5.448701768831668	5.448701769212663	5.44870176956291	5.448701769942151	5.448701770308842	5.448701770680726	5.448701771054232	5.448701771409044	8.875105911736703e-23	1.0603623698514145e-22	5.19575370542361e-23	2.3176581702307934e-23	5.329277304708964e-23	1.4488104093276898e-23	4.183692846486246e-23	1.4194515948753908e-22
3.637978807091713e-12	5.448701768635923	1.308879421907348e-21	5.448701769004078	5.448701769748494	5.448701770484464	5.448701771234543	5.4487017719821065	5.448701772720887	5.448701773457467	5.448701774198047	3.527517510079225e-22	4.2046502115226056e-22	2.030650588751948e-22	9.170820204298677e-23	2.1064136761250562e-22	5.781848617758092e-23	1.6759268600073153e-22	5.721344721426319e-22
7.275957614183426e-12	5.448701768654456	5.382311115412877e-21	5.448701769359108	5.4487017708602705	5.44870177232817	5.448701773829056	5.448701775294608	5.44870177679035	5.448701778263482	5.448701779759288	1.4205562202223302e-21	1.703711464004705e-21	8.181849843296696e-22	3.6910129211014593e-22	8.534446716623146e-22	2.325152911127778e-22	6.745997290157872e-22	2.3037304843207383e-21
1.4551915228366852e-11	5.448701768644405	2.5068674204580776e-21	5.448701770076173	5.448701773068083	5.448701776011811	5.448701779019736	5.448701781947899	5.4487017849278505	5.448701787879688	5.4487017908512625	8.294520269328564e-22	1.1214541155798692e-21	5.1138996335502e-22	4.795107195987542e-22	4.87873751849628e-22	4.3802671959509305e-22	5.757463174561276e-22	1.4524061311169408e-21
2.9103830456733704e-11	5.448701768640846	4.554160650744643e-21	5.448701771499402	5.448701777493502	5.448701783373997	5.448701789385947	5.448701795244461	5.448701801236955	5.448701807112006	5.448701813096484	1.303932109178696e-21	4.728598736364638e-21	6.27904187060774e-22	1.4298779008605049e-21	4.934014336414176e-22	2.1992403717193684e-21	9.382456690888848e-22	5.261376499208322e-21
5.820766091346741e-11	5.448701768625838	1.9907862531081493e-21	5.448701774365463	5.448701786310281	5.448701798100434	5.448701810103934	5.448701821819555	5.448701833812925	5.448701845661189	5.448701857497563	8.544347691943018e-22	6.788338708383188e-22	4.625869754983649e-22	1.4888692247772732e-22	1.3090318768954707e-21	8.049981287237141e-23	5.750429644159363e-22	8.334805522833282e-22
