h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	5.448701768646259	7.758948811699052e-26	5.448701768646354	5.44870176864664	5.44870176864703	5.448701768647405	5.4487017686477515	5.44870176864804	5.4487017686485055	5.448701768648906	1.006407640955657e-26	2.695116251856322e-26	5.3087208016483546e-27	4.4160413874069355e-27	5.323632812758033e-27	2.968951519600859e-27	6.820390001322375e-27	4.070800798782152e-26
3.552713678800501e-15	5.448701768646603	8.761684723943604e-25	5.448701768646463	5.448701768647507	5.448701768648238	5.44870176864873	5.448701768649328	5.448701768650098	5.448701768650938	5.448701768651515	1.2888497513068743e-25	1.8346353003840985e-25	7.906119107867205e-26	5.642013307105568e-26	7.463447839906528e-26	3.9863384874071994e-26	6.701084813118245e-26	2.552234150044849e-25
7.105427357601002e-15	5.448701768647297	1.5901909823566668e-24	5.4487017686471395	5.448701768648305	5.448701768649835	5.448701768651291	5.448701768653015	5.44870176865429	5.448701768655469	5.448701768656485	2.3495344806880955e-25	3.3880853380137253e-25	1.4757108247410009e-25	1.0436981454431723e-25	1.3912203999967474e-25	7.337031024655724e-26	1.2412026688178568e-25	4.370168434793152e-25
1.4210854715202004e-14	5.448701768646872	6.826110090084345e-25	5.448701768648023	5.448701768650209	5.4487017686534145	5.448701768656244	5.448701768659401	5.448701768662352	5.448701768664889	5.448701768668584	1.1076678389043376e-25	1.4832835656240478e-25	6.414357190057408e-26	4.610412905120201e-26	6.013787368500778e-26	3.346077848698954e-26	5.671194594613339e-26	2.0548137559219718e-25
2.842170943040401e-14	5.4487017686456465	1.5606624542803124e-24	5.448701768649189	5.4487017686550185	5.4487017686603885	5.448701768666639	5.448701768671876	5.448701768677975	5.4487017686836205	5.4487017686896255	1.1630341041614876e-25	3.3410661495425365e-25	6.185324885072065e-26	1.3129214142531522e-25	6.308535985920439e-26	1.274739017927849e-25	7.885227995349743e-26	7.172288036733053e-25
5.684341886080802e-14	5.448701768645269	2.9983522652470506e-24	5.448701768652555	5.448701768662959	5.448701768675385	5.448701768686658	5.448701768698567	5.448701768709332	5.448701768721076	5.448701768732444	4.3150281026873235e-25	6.123770248673396e-25	2.632611079595584e-25	1.8430537976535165e-25	2.4740281137715076e-25	1.293708278825226e-25	2.212281637423496e-25	8.418565955818463e-25
1.1368683772161603e-13	5.44870176864582	1.7924094158440816e-24	5.448701768656896	5.448701768680631	5.448701768703845	5.4487017687270045	5.448701768750008	5.448701768773567	5.44870176879654	5.448701768818734	1.5186170014901766e-24	2.6438849576876683e-25	2.096125795681514e-25	7.855682043450529e-26	8.55335286813677e-26	1.0592936018464632e-25	1.0094859593335145e-25	3.3072422085588666e-25
2.2737367544323206e-13	5.448701768646645	5.0983556887794515e-24	5.448701768667986	5.448701768715511	5.448701768760676	5.448701768807697	5.4487017688543915	5.44870176890126	5.448701768946579	5.448701768992777	7.661292552279143e-25	1.0425256773579418e-24	4.662595000823062e-25	3.2436426972065164e-25	4.267826423991684e-25	2.273501956002763e-25	3.911697486322556e-25	1.4323518652807065e-24
4.547473508864641e-13	5.4487017686459005	1.3603735552188154e-23	5.448701768690599	5.448701768784703	5.448701768876337	5.448701768969813	5.448701769061602	5.448701769155887	5.448701769247761	5.448701769340239	1.9457962848314677e-24	2.758752145408735e-24	1.185310593564871e-24	8.251317668394419e-25	1.1125618428333304e-24	5.780466484706531e-25	9.936116310758793e-25	3.779698188768364e-24
9.094947017729282e-13	5.448701768645907	1.4624986714614122e-23	5.448701768736131	5.448701768922857	5.4487017691051145	5.448701769294029	5.448701769476746	5.448701769663731	5.448701769849798	5.4487017700345834	2.2786560786546513e-24	3.0841550883963653e-24	1.3295820604622868e-24	9.406960583906236e-25	1.2445703545511608e-24	6.7540078252886835e-25	1.1582113532717392e-24	4.250327759569281e-24
1.8189894035458565e-12	5.448701768644107	4.424426790292312e-24	5.448701768825143	5.448701769200631	5.448701769566863	5.448701769941608	5.448701770307577	5.448701770681221	5.448701771051864	5.448701771422037	6.506145583300883e-25	8.921010485792574e-25	3.9500499517860444e-25	2.721654493168893e-25	3.629234501138645e-25	1.9008833589130568e-25	3.299492165867573e-25	1.2191401287704234e-24
3.637978807091713e-12	5.448701768643782	1.6783154720199445e-23	5.448701769001657	5.448701769754883	5.448701770487135	5.448701771238	5.448701771971968	5.448701772719906	5.448701773452134	5.4487017742001065	2.55411261925521e-24	3.4793082437367625e-24	1.497605758068884e-24	1.0492656970531601e-24	1.400602488952406e-24	7.483624723979622e-25	1.2926975708640138e-24	4.776397804641799e-24
7.275957614183426e-12	5.4487017686428585	8.803698538702512e-24	5.448701769361098	5.448701770855775	5.448701772328859	5.448701773828369	5.44870177530125	5.44870177679071	5.448701778264397	5.448701779750522	1.3206096252342506e-24	1.8062763843048187e-24	7.768154429195002e-25	5.408668655169262e-25	7.261110360126686e-25	3.841298530128383e-25	6.666294635144913e-25	2.472943430201208e-24
1.4551915228366852e-11	5.448701768649059	3.884280389197889e-23	5.448701770079522	5.448701773070304	5.448701776007003	5.448701779011722	5.448701781948356	5.448701784938333	5.448701787885547	5.448701790855569	5.476904300853591e-24	7.745696569862216e-24	3.324181494527648e-24	2.2821291107405262e-24	3.111692852774675e-24	1.5908862931552334e-24	2.770265194119621e-24	1.0526441735373036e-23
2.9103830456733704e-11	5.448701768644657	5.936468130195955e-23	5.448701771516473	5.448701777489802	5.448701783367261	5.448701789376282	5.448701795252561	5.448701801228005	5.448701807129215	5.448701813066173	7.098198973468627e-24	1.946082293951724e-23	3.927090047953357e-24	3.0630957817530556e-24	3.850408552170863e-24	1.904804230998686e-24	4.6954474384665854e-24	2.772542875065235e-23
5.820766091346741e-11	5.4487017686339945	1.669471401170854e-22	5.448701774383811	5.4487017863397575	5.448701798090507	5.4487018101073765	5.448701821859251	5.448701833812788	5.448701845608757	5.448701857494441	2.5035614517355626e-23	3.424560923940237e-23	1.472757318398582e-23	1.0252890055846287e-23	1.3766121242344008e-23	7.281069189525708e-24	1.2637010714954973e-23	4.688232358145258e-23
1.1641532182693481e-10	5.448701768625976	7.073237086402521e-23	5.448701780126567	5.448701804029186	5.448701827538859	5.448701851563991	5.44870187507309	5.448701898980538	5.448701922582912	5.448701946344478	1.0378589464132381e-23	1.4286125620328305e-23	6.136860111425083e-24	4.230280334941036e-24	5.7316897263380744e-24	2.98415883881302e-24	5.217563665980802e-24	1.9466948290204846e-23
2.3283064365386963e-10	5.448701768608016	1.4718831746418402e-21	5.4487017915986335	5.448701839418092	5.448701886422891	5.448701934487987	5.448701981488013	5.448702029309646	5.448702076493598	5.4487021240366555	2.122825631240556e-22	2.982846391434981e-22	1.2522246945099554e-22	8.682722877004853e-23	1.1871107793189695e-22	6.146803706422103e-23	1.0697278451619484e-22	4.0641068657031143e-22
4.656612873077393e-10	5.448701768571099	1.9296911410921794e-21	5.448701814540442	5.4487019101907554	5.448702004197071	5.448702100325748	5.448702194332894	5.448702289969959	5.448702384344596	5.448702479436291	2.856811401346481e-22	3.9221918553363907e-22	1.6855952043364882e-22	1.166707773242911e-22	1.574815091411445e-22	8.253123314929553e-23	1.438579957062448e-22	5.355201313620179e-22
9.313225746154785e-10	5.448701768651297	2.7961380020710635e-22	5.448701860447781	5.448702051701465	5.448702239707068	5.448702432040789	5.448702620042401	5.448702811298236	5.4487030000254135	5.448703190196017	3.927016567552541e-23	5.549516938847619e-23	2.3810314195897488e-23	1.628035484207827e-23	2.227226408484483e-23	1.133263759694521e-23	1.980988987674036e-23	7.524476362823679e-23
1.862645149230957e-09	5.448701768339027	3.037466980300014e-20	5.44870195222712	5.448702334824954	5.448702710866718	5.448703095373188	5.4487034713776135	5.448703853947189	5.448704231431478	5.4487046117974955	4.4980668712769715e-21	6.175018823557565e-21	2.6538046995297094e-21	1.8370996346093496e-21	2.479417240977604e-21	1.2996488208663332e-21	2.265169805395731e-21	8.431625617718159e-21
3.725290298461914e-09	5.448701768087052	1.103571830699826e-19	5.44870213579903	5.448702901003829	5.448703653053882	5.448704422109211	5.448705174119456	5.448705939245756	5.4487066942096885	5.448707454925413	1.5782377619892555e-20	2.2177741650695898e-20	9.33871933063806e-21	6.4359820879675014e-21	8.829426857762525e-21	4.5377479418028806e-21	7.933510570109368e-21	3.0133103348810514e-20
7.450580596923828e-09	5.448701768647027	4.0799951679050895e-23	5.448702503077967	5.448704033072898	5.4487055371352335	5.448707075787475	5.4487085798383905	5.44871010984449	5.4487116196703225	5.448713141020199	5.707425276041056e-24	8.059045457867798e-24	3.4569245291225706e-24	2.3538804824496604e-24	3.2313418221363435e-24	1.6360579902574382e-24	2.8713013749332885e-24	1.090158638594687e-23
1.4901161193847656e-08	5.447129756719983	9.560786520421325e-06	5.446300937925024	5.4494688557573925	5.450170124443607	5.45012375334921	5.447438187214515	5.447743753988146	5.446113072057129	5.440429905644546	1.4974950606181813e-05	6.0642396593459455e-06	5.688165193547774e-06	6.064113330090757e-06	6.064270822328894e-06	5.688043328525623e-06	6.064238644293911e-06	1.4974848391373935e-05
2.9802322387695312e-08	5.4378512248036674	0.0001883015854681061	5.434744861927118	5.445013213154227	5.451195997121728	5.458994051464076	5.465280644182419	5.465221102701984	5.470788447618917	5.477862645170089	0.00021445965678396588	0.0001722708764629766	0.00015229743960712208	0.00014395234936394208	0.00014395237670233649	0.00015229741298530757	0.00017227088014668243	0.00021445967189606712
5.960464477539063e-08	5.482156838315989	7.705474269911609e-05	5.4412237074211545	5.449640599263058	5.477676544208343	5.4784855904530225	5.4864147495880955	5.481193405915586	5.4709326809889065	5.46310091780986	3.753576364324414e-05	1.470186828579548e-05	4.146915409471038e-05	2.1485412548573487e-06	4.133838707735922e-05	1.41107830927736e-06	4.728980683602833e-06	0.00018058436297515543
