h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	0.3317278675554637	2.5266207168668994e-18	0.3317278692452529	0.3317278723732021	0.3317278746726846	0.33172787742751575	0.33172787941518567	0.3317278799783448	0.33172788066327946	0.3317278835233347	3.957421425278103e-18	1.6025921119152395e-18	1.503206633330335e-18	1.6025916236848673e-18	1.6025923145530277e-18	1.5032060965937475e-18	1.6025921475078322e-18	3.957420994094389e-18
3.552713678800501e-15	0.3317278720323869	6.836874951299962e-17	0.33172787220256056	0.3317278748646194	0.3317278758744966	0.331727885054176	0.331727879887306	0.3317278894689377	0.33172789520638424	0.33172789744913206	1.9804412332662437e-17	2.359886705849454e-17	1.1427116105351406e-17	5.152151743505584e-18	1.1861694807488173e-17	3.2441543626105934e-18	9.423992290199743e-18	3.1861936154588597e-17
7.105427357601002e-15	0.331727881399208	2.2071400247721323e-17	0.331727878093985	0.33172787804554665	0.331727887973092	0.3317278935950374	0.3317279026387302	0.331727907293445	0.33172791665424817	0.3317279169474118	3.9631903869697614e-18	4.612064356293208e-18	2.0762718196393186e-18	1.2059132737176606e-18	1.9274158712244555e-18	8.741923008776177e-19	1.848205975512151e-18	6.220281715548968e-18
1.4210854715202004e-14	0.33172787183767966	8.838526931867413e-20	0.3317278784631246	0.3317278911180073	0.33172790419500375	0.3317279179882628	0.3317279319114269	0.3317279447398374	0.3317279582777691	0.33172797920980673	2.1489045159637118e-19	1.6186570765623685e-19	9.616776018795769e-20	8.076932349657226e-20	2.7069234931656685e-19	7.850691323534223e-20	2.9761499144120195e-19	5.5238363048091716e-18
2.842170943040401e-14	0.3317278376864437	1.0637784747132559e-16	0.33172788493840366	0.3317279118990693	0.3317279384577883	0.3317279675030059	0.3317279967667604	0.3317280200182821	0.3317280486548417	0.3317280768001734	5.4455491300162865e-18	3.786890334612884e-18	2.673509104261695e-18	6.620657994200928e-19	4.9423865677497685e-18	3.7106201389199583e-19	4.116239615769107e-17	3.888485517190432e-18
5.684341886080802e-14	0.3317278701917499	3.6835830895168825e-18	0.33172789792103174	0.3317279533867555	0.33172800786332146	0.33172806434699187	0.3317281182626791	0.33172817257091436	0.3317282256401012	0.3317282819241105	3.960407259812976e-18	2.0173744861913302e-18	1.2911312976491325e-18	1.1051530181107345e-18	1.2634741140094448e-18	9.93363655944667e-19	1.446243815712241e-18	3.970688705011223e-18
1.1368683772161603e-13	0.3317278732408151	1.0880879982261585e-17	0.33172792309891536	0.33172803512517945	0.3317281423731529	0.33172825367767955	0.33172835990646254	0.3317284738493262	0.3317285805678375	0.33172868945609435	9.465700901143261e-18	8.295293473394206e-18	8.614852481630018e-18	9.465687679142366e-18	6.219064241593748e-18	6.997450996721036e-18	7.223489105519325e-18	8.614852123865068e-18
2.2737367544323206e-13	0.3317278722952748	2.4974384575715287e-18	0.33172797995849596	0.3317281985582865	0.33172841610886333	0.3317286336632894	0.3317288512120334	0.3317290697243522	0.3317292873678195	0.3317295049094866	2.844372238979251e-18	2.284823648496904e-18	2.0199165808529896e-18	1.9092356397970507e-18	1.909236255646757e-18	2.019915966680908e-18	2.2848237662078225e-18	2.844372500929267e-18
4.547473508864641e-13	0.331727869161736	1.228677397598526e-18	0.33172808826076394	0.3317285234355442	0.33172896069361396	0.3317293975414075	0.33172983304201925	0.33173027201618405	0.33173070742902805	0.33173114338587373	1.2880702204427156e-18	2.76878188837449e-18	7.396786748590334e-19	6.534332958282358e-19	1.8010523845765807e-18	7.262052071767664e-19	7.807190025691493e-19	1.185279889755807e-18
9.094947017729282e-13	0.33172780847360994	3.983435541833965e-13	0.3317282826661373	0.33172941644349924	0.33172965913999114	0.33173018139111793	0.33173110749607343	0.3317318630932882	0.3317312879039632	0.3317344949724235	1.0509715387947218e-12	2.2484103845328168e-13	3.8340464650944556e-13	3.143863524590652e-13	2.898921602816809e-13	3.330999109721596e-13	3.643269382746766e-13	2.6186545557528466e-12
1.8189894035458565e-12	0.33173927109871704	1.272501711532392e-10	0.3317315223327597	0.33173261340409826	0.3317387019793763	0.33174150914324485	0.33173998839822216	0.33174293267315824	0.3317551005575085	0.3317468151047593	7.01180949599516e-11	8.02537336777923e-11	4.5426841537500124e-11	3.867682052525401e-11	4.448429882685432e-11	3.3617169187362344e-11	5.029143166218145e-11	8.299557402408697e-11
3.637978807091713e-12	0.331743810968528	3.6349457802563313e-10	0.331745840213936	0.33174554031639675	0.33174294981895036	0.3317424511864536	0.3317419520782767	0.33174650697123614	0.3317460084944197	0.33173923863189725	3.6926434141184373e-10	3.6926434194790444e-10	3.6926434087483007e-10	3.6926402976551295e-10	3.6926434087483007e-10	3.6926402976548513e-10	3.692643414118231e-10	3.692643419479191e-10
7.275957614183426e-12	0.3317352613237442	2.161971389925349e-10	0.33174553217647057	0.3317371368209776	0.3317610319896587	0.331749163275609	0.33176452536056444	0.33174010049194647	0.33178117910303934	0.33177788090774646	2.459041330947024e-10	2.0093056686912325e-10	2.2617065536692742e-10	2.390391632018353e-10	2.0266747556032124e-10	2.6370898834253376e-10	2.2546467686184201e-10	2.4575400455596165e-10
1.4551915228366852e-11	0.33181961401715365	3.985524881700685e-12	0.3317325586242677	0.33172672713488394	0.3317500161933017	0.3317728192890934	0.33177209192511703	0.3317829857389369	0.33177504373772065	0.33176583386086883	3.363197026529547e-13	5.075072848668782e-13	2.9217242888056087e-13	7.536114409558811e-14	1.2942527548323989e-12	4.881220581031477e-14	1.6538118112802383e-13	5.032480407912871e-12
2.9103830456733704e-11	0.3317545680687669	1.2909348669719916e-10	0.33176047683954646	0.3317654267253517	0.3317713291101223	0.33177978322684987	0.3317863863536745	0.3317977831256455	0.33180504691687995	0.3318012120642884	1.4702661884641947e-10	1.181033570516618e-10	1.0441021730278177e-10	9.86890199242108e-11	9.868911504514713e-11	1.0441012251208894e-10	1.1810337506557544e-10	1.4702665968488213e-10
5.820766091346741e-11	0.331780416719932	8.086673366361927e-10	0.3317703822093708	0.33176867035605295	0.33179020925105923	0.33180736622053303	0.3318044260056791	0.33183314266274233	0.3318520574876871	0.33185559545525445	1.4731926126043042e-10	1.7134583699601509e-10	7.703645088741207e-11	4.5223608238053936e-11	7.133656044276128e-11	3.2959114655844044e-11	6.884805256908553e-11	2.3037160128064518e-10
1.1641532182693481e-10	0.33190682451656556	1.8888272523478512e-08	0.3319507176897296	0.33184310850278637	0.331770687491726	0.33171189487147723	0.3316553647204848	0.3316607170053134	0.331606019426903	0.3315230448863441	2.1512152867764353e-08	1.7280254081132672e-08	1.5276746431075968e-08	1.4439662682884706e-08	1.4439664540892598e-08	1.5276744577429457e-08	1.7280254437908667e-08	2.151215365433058e-08
2.3283064365386963e-10	0.33167593142929347	2.8392613103295172e-08	0.3316983441311753	0.3316436112900156	0.33163785833025206	0.3316516189769175	0.33172355526841474	0.3316477009717672	0.3316387275157794	0.3316603549919002	2.7561178183238904e-08	2.840344983215643e-08	2.6220965010071284e-08	2.500305380782765e-08	2.6259110926953996e-08	2.471038011033542e-08	2.7146838067642433e-08	2.8300101949138972e-08
4.656612873077393e-10	0.33337894705262405	4.872305591956716e-08	0.33167978153866257	0.3315588485006152	0.33155490637417584	0.33166179906935844	0.3317157933601038	0.33179774878382484	0.33176649368837674	0.3313600081209334	8.037902547429315e-09	5.624594171162329e-09	4.3557172313542764e-09	1.0190440786202588e-09	3.6930597024635833e-09	5.428185291858794e-10	1.6803523498459064e-09	4.376291698526162e-09
9.313225746154785e-10	0.3314510696891017	3.405274469662191e-08	0.33179019840043866	0.33158383295624005	0.33190555875970246	0.3315726692632883	0.3317343944572921	0.33147660057367345	0.3317430409742723	0.33163293087805723	3.115371937759932e-08	2.7541697559701457e-08	3.878320335991225e-08	3.878317438560459e-08	2.7541693776693062e-08	3.1153697455926676e-08	2.6032560382700154e-08	2.6032561510056918e-08
1.862645149230957e-09	0.3317153724493604	3.4097407147154635e-08	0.3317582751900373	0.33170117675939387	0.3316999823674014	0.33171443883831025	0.3317495330527237	0.3316894111688877	0.3317077658260431	0.33170311621187104	3.463784662027466e-08	3.463958496923261e-08	3.463600361708754e-08	3.460706963720164e-08	3.4636003620040265e-08	3.460705407492741e-08	3.4637830738463494e-08	3.463958462672588e-08
3.725290298461914e-09	0.3317863940741955	2.1102789175125988e-10	0.33172585810557625	0.33189100866499727	0.33162472397321724	0.33187041133280487	0.33165897988821375	0.33182673300563625	0.33171381489945206	0.33198488372020385	6.406752259086194e-11	4.799696760671711e-11	2.6192000514290257e-10	8.79995040910284e-12	1.453491425518496e-10	5.820795464506581e-12	1.9330184164471464e-11	7.192762679350086e-10
7.450580596923828e-09	0.3316317787904388	4.733277003793373e-09	0.3316335462780622	0.33161764515499526	0.3316288867537853	0.33164632224136525	0.33163687254494706	0.3316284765562983	0.33162284785637625	0.3316396325775617	4.808408508445209e-09	4.8084085172379885e-09	4.808408499636063e-09	4.808403775505288e-09	4.808408499636063e-09	4.808403775505041e-09	4.808408508444962e-09	4.808408517237801e-09
1.4901161193847656e-08	0.33176848395161107	8.082357401009287e-09	0.33176310696574696	0.33179220920997776	0.33175969713121334	0.33175916592820226	0.33175902188018663	0.3317794044118528	0.33177312247473245	0.3317621435822068	8.210648912516884e-09	8.210648919137802e-09	8.210648905885925e-09	8.210644229476651e-09	8.21064890588626e-09	8.2106442294767e-09	8.210648912516767e-09	8.210648919138136e-09
2.9802322387695312e-08	0.33177459753882926	9.412051878835e-09	0.3318464951606698	0.3317721305064941	0.3317803446096582	0.3318098856363262	0.33178115968827365	0.33175706092405016	0.331763665368873	0.3317637450317023	6.565941201539918e-09	7.360810494594423e-09	4.8185438592097605e-09	4.30856474697214e-09	4.824789193728988e-09	3.911909779739728e-09	5.408097051011851e-09	7.358403629596976e-09
