h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	0.3312344099231311	5.5927924221043696e-18	0.33123442617841836	0.33123442542638765	0.33123443054112034	0.3312344319156887	0.3312344336665264	0.33123443640888944	0.3312344374979009	0.3312344377279194	7.163801475215727e-19	2.663858326209574e-18	2.3178757722135518e-19	8.202791728202196e-20	2.870701924767467e-19	3.5034446785583003e-20	1.2839340173798303e-19	2.9025045215029164e-18
3.552713678800501e-15	0.3312344372192525	1.1838447166525216e-18	0.3312344286817897	0.33123443347890547	0.33123442925535185	0.3312344384624687	0.3312344391409785	0.3312344462810099	0.33123444613451936	0.3312344540051554	2.409009059485042e-19	2.1896890293835942e-18	5.12071966562425e-19	4.0389955069372343e-19	2.849029536283344e-19	1.2350251708736068e-19	6.971943418255516e-20	3.0898733625953322e-18
7.105427357601002e-15	0.33123443562301896	2.544924040146763e-19	0.3312344318080818	0.3312344341912649	0.33123444303674865	0.3312344468391846	0.33123445797814605	0.3312344637483131	0.3312344714087286	0.3312344726810734	8.623240087765442e-20	8.094156393928178e-20	2.4658995571474514e-20	1.3608835983996546e-20	3.6407897411037756e-20	1.0067741059625084e-20	3.841871463234868e-20	2.2706563857359507e-19
1.4210854715202004e-14	0.33123442434281786	2.0974827659035292e-18	0.3312344328488348	0.3312344468171496	0.3312344593466517	0.33123447262138384	0.3312344844553208	0.33123449936599425	0.3312345127914673	0.33123453038884043	6.150258298097532e-19	7.195016036877817e-19	1.8027532675679276e-19	3.580001161932471e-20	1.3506701598543847e-18	1.7469896900624252e-20	6.920586848968206e-20	1.6953896988104009e-18
2.842170943040401e-14	0.331234412828442	1.0648381691807693e-17	0.3312344380635508	0.3312344679526232	0.33123449454366116	0.33123452067607034	0.33123455028410487	0.3312345742702131	0.3312346012311482	0.3312346288341242	1.4048446226101744e-18	1.2083770554408922e-18	6.506362327416225e-19	1.4975869106222567e-19	2.408685662932949e-18	7.914612932870278e-20	6.179185196977853e-19	1.775210834970482e-18
5.684341886080802e-14	0.3312344407391334	9.056273613502846e-19	0.3312344543023595	0.33123450743208765	0.3312345622763605	0.3312346168384242	0.331234669046188	0.33123472542050103	0.33123477695713927	0.3312348285394045	1.3636592360333666e-19	1.4111846391248145e-19	6.135269184102596e-20	1.2653912896466449e-20	2.2930579049700362e-19	6.996993238902513e-21	4.966782489156804e-20	2.417022580315653e-19
1.1368683772161603e-13	0.3312344795103099	3.122325849486278e-17	0.3312344747528896	0.33123458887422147	0.33123469739582867	0.3312348051140009	0.331234909992471	0.3312350197668399	0.33123512583315656	0.3312352166206008	9.94997484326678e-17	4.695773315259009e-17	2.579732291388987e-17	5.556518261039986e-18	8.880490826815119e-18	4.224046347685828e-18	8.576901439417017e-18	9.672138644068986e-17
2.2737367544323206e-13	0.3312344221988918	2.5643749277315566e-17	0.3312345340772834	0.3312347546242305	0.3312349634315332	0.3312351786279758	0.3312353970445724	0.33123560780113553	0.3312358225438653	0.3312360351132555	4.773467359593105e-18	1.3653650839863732e-17	1.1608229738835647e-18	7.173016707477396e-19	1.4482128581357967e-18	2.2529134320087775e-19	6.81530222124116e-19	1.839741659369988e-17
4.547473508864641e-13	0.33123443826974797	1.750091810482848e-17	0.33123464131918845	0.33123506912930684	0.33123550085648745	0.331235933780847	0.331236362491994	0.3312367932480229	0.33123722521686755	0.33123765643667963	1.2452101879442643e-18	6.28769044588821e-19	4.822975909261151e-19	5.077677279190675e-19	1.3313617321731472e-19	4.902016555536976e-19	1.635725400226589e-19	4.342154350948108e-19
9.094947017729282e-13	0.3312380339121683	2.0342834855925744e-14	0.3312347792436623	0.33123525744720006	0.33123606777042264	0.3312373588389813	0.33123698224937675	0.33123786491355467	0.3312386315207233	0.3312395245307413	4.5673256322680824e-14	1.1085873399299725e-13	8.9290678177681e-14	4.7286252238211386e-14	1.733434979395306e-15	1.1312975428542898e-14	6.562289760137595e-16	1.581155616427508e-15
1.8189894035458565e-12	0.33120268688212556	1.679501456484478e-11	0.3312369985305292	0.331237721811857	0.33123855756499415	0.33123949098247163	0.33125363858609147	0.3312566111415097	0.331260325624553	0.3312584878279033	1.1558437052897206e-11	7.790374910522351e-12	5.727971713681436e-12	4.0704300315162345e-12	9.766002170204251e-13	2.778056636390684e-12	7.615979357511481e-13	2.0638642069987506e-12
3.637978807091713e-12	0.33121775413663734	8.920806367206544e-12	0.3312421539065362	0.33123469569385355	0.331259440759101	0.3312660710045863	0.33125809314610344	0.3312328939657383	0.33123656871050994	0.33127079116159436	7.961754022666817e-11	1.2786220923858684e-11	1.228779955620905e-11	6.379650746705516e-11	1.0507275299072913e-11	4.874036453399813e-12	7.86804425612887e-12	6.045292664761361e-11
7.275957614183426e-12	0.33106240407448345	7.978929710212832e-11	0.3312431339680683	0.33125618670756757	0.33126468549705823	0.33123626968635056	0.33128615825254254	0.3312700228594999	0.3312766999486535	0.33127353124721776	1.470449250804153e-11	5.0416789414318574e-12	3.92140828296996e-12	3.2638317715587167e-12	6.076262014164946e-13	2.5151744476223007e-12	5.257234371983673e-13	1.3442084116726884e-12
1.4551915228366852e-11	0.3313213276174871	7.120750774190084e-12	0.3312380674608978	0.33123403300931925	0.3312565443265427	0.33127885002182744	0.3312783998760302	0.33128911334409794	0.33128149165874066	0.33127142158227657	1.5150802825258829e-12	6.912357509711143e-13	1.0646630567316818e-12	4.273000226684066e-14	1.265459193225223e-12	2.706957000817451e-14	1.6376589075886186e-13	1.6970024400645214e-12
2.9103830456733704e-11	0.33161905609483894	2.702010646791002e-12	0.3312619274060053	0.3312712519604121	0.33128488815887164	0.33128824892601666	0.3313007177964308	0.33128638138146504	0.33129939992962715	0.33132517662862443	3.218151664096599e-13	2.2794971398709286e-13	2.3789654455019273e-13	2.4210973216573974e-13	4.588385621233968e-13	4.0483377647854663e-13	7.708916148560224e-13	2.4652935639421982e-12
5.820766091346741e-11	0.3312297279932063	2.778650408999965e-12	0.33128254431730203	0.3312757679433586	0.3312897712623374	0.3313030230692859	0.33131678024695627	0.33134755389760057	0.3313487249392545	0.3313704020014887	2.337045442050452e-13	1.1026942213332978e-13	9.823333410330688e-14	8.855502299401179e-14	2.696858548705936e-14	8.730127579549894e-14	3.352200281039511e-14	8.531050964567279e-14
1.1641532182693481e-10	0.3312572948395061	1.5458933759123568e-08	0.3312251239905136	0.3313231512649985	0.33138763247344755	0.3312652208610392	0.33118868297142107	0.3311637097975027	0.3310155535613203	0.3310523979697811	1.441812434534662e-08	9.964590544023706e-09	1.2940146226800543e-08	1.163027953468596e-08	9.358427668114026e-09	7.350009195120558e-09	3.984974089717106e-09	7.54412443257424e-09
2.3283064365386963e-10	0.3298786132246285	3.050156513148305e-09	0.3313504058354737	0.3312978823241004	0.3313678615812545	0.33103704466047024	0.33136948384653264	0.33100864061658075	0.331166960324335	0.33129378635600426	3.1315222574607033e-09	3.3146732475714137e-09	6.536677118829818e-10	1.0841807265911827e-10	3.140669126926581e-08	4.6978740069250034e-11	1.6980685580455141e-10	9.732947164880426e-09
4.656612873077393e-10	0.3323808612281572	2.6106705732856333e-08	0.33110791554961083	0.3311487866212868	0.3311039004790082	0.33116718471329915	0.33130116917366714	0.33128049195241244	0.33125275892649536	0.33090521671622986	9.988677912735676e-09	9.041865307040307e-09	9.155693055955987e-09	5.67257119945701e-09	1.419450754325391e-09	2.694588762760152e-09	6.582070426267443e-10	3.040740877178863e-09
9.313225746154785e-10	0.330959232724916	3.3623553533172165e-08	0.3312966856143043	0.33109126400585154	0.331411082900065	0.3310800791147897	0.33124105825076355	0.33098466650800284	0.3312496323897002	0.3311401703818929	3.076107443842514e-08	2.7194573089001113e-08	3.829439902085636e-08	3.829439946818264e-08	2.719457299232017e-08	3.076107398500445e-08	2.5704449880058865e-08	2.5704450369417546e-08
1.862645149230957e-09	0.332395801918593	4.168975822987439e-09	0.3310203180510075	0.33127496947606055	0.3312671786199481	0.3312318896369126	0.3310048801388364	0.33140480266118316	0.3312778492500421	0.331513182330355	2.5005521339264723e-09	4.295873634579828e-09	1.3991424361636952e-09	1.782237249668153e-10	1.5903156472600906e-09	1.3299710734618646e-10	6.022702834567289e-10	5.328530330979474e-08
3.725290298461914e-09	0.3311376886066676	4.3026530449159006e-12	0.33123663344955495	0.33139295745319713	0.3311480838064015	0.3313739547528145	0.3311650039637818	0.33133603504412673	0.33121364750733406	0.3314581149298909	7.051284996093402e-13	1.7554001555825518e-11	2.0713401898684628e-13	3.442068458939609e-13	2.5631458373648655e-12	9.055100953920659e-14	2.2388076135755825e-13	4.306852561635952e-11
7.450580596923828e-09	0.3310946456221042	1.9229215740598645e-09	0.33122163599463167	0.3311982629771908	0.3311397621128307	0.331091202384462	0.33105866366196246	0.33120871757134085	0.33112333692128254	0.3312181636646287	9.959726410145694e-09	3.223406982164778e-09	2.696597345949977e-09	2.4184015854138184e-09	2.4183111015519112e-09	2.69637294740353e-09	3.223160583999527e-09	9.959350494434895e-09
1.4901161193847656e-08	0.3313173751602979	5.480120545031511e-09	0.33130069759868036	0.33128496671946583	0.33127452711675337	0.3312560055676323	0.33126407589509804	0.33126612074247447	0.33130687610293924	0.3312417186240895	7.4417921085507675e-09	7.907243293343971e-09	7.996615350432871e-09	8.002074086384852e-09	7.496751539473348e-09	7.430667010503235e-09	7.212780142158059e-09	7.620564993628318e-09
2.9802322387695312e-08	0.3308162008482455	4.837950840544606e-08	0.3312747472615495	0.33132235526568377	0.33140421462602704	0.33134033579155225	0.33125994631234423	0.33125089915361833	0.3312102049199229	0.3312101258993673	5.72427701789403e-09	5.233945715938533e-09	2.071592302182024e-09	2.287935640827633e-09	8.991813105740053e-10	1.8738105679392834e-09	9.692841002085114e-10	3.098707004952167e-09
5.960464477539063e-08	0.3313061633521804	2.3287823471820072e-08	0.3311500562624925	0.331142596850588	0.3312036097956373	0.33124571936175956	0.3312622739012801	0.33126266847348285	0.33117509234186304	0.33123134126239057	9.805107535153676e-09	6.610049215915985e-09	1.4995357098788507e-08	1.245993905285037e-08	8.611728470708635e-09	7.582134926519925e-09	8.013474058921674e-09	6.771073089436926e-09
1.1920928955078125e-07	0.33213618827533725	1.608894235077316e-08	0.3311340401952016	0.331076960898765	0.3309934583115953	0.33120987465491	0.33095986851147885	0.3311393280092426	0.3312684560275542	0.33139885199480934	2.00607193356319e-09	9.172907546988756e-10	7.43546067607643e-10	7.111760634633161e-10	1.798862596677216e-10	6.615727100813843e-10	2.031135542797146e-10	5.267119240306781e-10
2.384185791015625e-07	0.3318183941332712	4.4291708766279136e-09	0.33108311763866954	0.3313167371816249	0.3312900817590309	0.3313812950983093	0.33125503950642854	0.3314260420015165	0.3313496140749217	0.3313154973744976	2.0606076075277888e-10	1.2512701465585147e-11	8.95584870451134e-09	2.4703040199026675e-09	2.149633588016483e-11	8.022282146498128e-11	6.845209365592731e-12	5.737753956538727e-12
4.76837158203125e-07	0.3313985436028888	3.137698120074228e-09	0.3313253329782735	0.33129815562129666	0.33101436909257065	0.33104106129353333	0.3313062047911705	0.3312812747622405	0.3313073939531026	0.33120120183218726	3.8831398636106364e-09	3.015839860137933e-09	4.183671839959143e-08	4.812365874009638e-08	1.8417734034519347e-09	5.050785255761989e-09	3.0724430061939407e-09	6.003870449706322e-09
9.5367431640625e-07	0.32969080407799756	7.2222437631868604e-09	0.33106369934692803	0.3309874531802392	0.3313508959330722	0.33107779227193085	0.3313420389711108	0.3313392174428427	0.3311102539997768	0.33108422440702007	1.0778305721350998e-09	5.091609626888497e-10	4.0159993669091657e-10	4.050800286876951e-10	1.0539831843116447e-10	3.8730876902348194e-10	1.3259670397358988e-10	3.4964066853529e-10
1.9073486328125e-06	0.33220406451503265	4.3863289004245925e-10	0.33099009628572307	0.3312859764216436	0.33114600399916566	0.3313266960837963	0.331347079841627	0.33123678396132067	0.3310768768909999	0.3312594851226661	1.0708524750788062e-10	8.88448415461778e-11	3.9506828927664444e-11	6.507648818054162e-12	2.359126404134735e-10	3.491226058166979e-12	2.9016338513841717e-11	1.5387314103807882e-10
3.814697265625e-06	0.33098640481392694	1.6515557492695264e-07	0.33109098695667677	0.33142093992282884	0.33107824940469016	0.3311088209283112	0.33105561978656367	0.3312931573317496	0.3309920266917547	0.3309597805874358	6.103119993447745e-11	2.9075877487998815e-10	5.625339119629244e-10	6.000999710828136e-10	3.1445877425893374e-11	1.0822304502773354e-10	3.93692406158064e-11	2.299716371124303e-10
7.62939453125e-06	0.3319457488354448	3.8759463806742206e-07	0.33134578190256675	0.3309996642611104	0.3309459289056323	0.3307504682633681	0.33106550993988587	0.3308441965496216	0.33094733573296303	0.33095175918788194	3.923444000177654e-08	4.0427174191463875e-08	1.813577556306008e-08	2.1503169168018443e-08	8.310380184066723e-09	1.746648877295673e-08	7.796679402545111e-09	2.2841225057012806e-08
1.52587890625e-05	0.3318190953431107	1.1187999821586809e-09	0.3310413947411497	0.331259050776883	0.3312198790494706	0.3309080661956237	0.33067359591755485	0.33044608543118936	0.3308757634007185	0.330917293784956	1.565687772986854e-09	8.700084325377505e-09	1.116674905216548e-08	2.075117892546898e-08	8.184956630468166e-10	5.286324954586961e-09	1.0691685182874133e-09	4.3516371327878645e-09
3.0517578125e-05	0.3339038811809891	7.650791462168244e-10	0.33138635522653187	0.33105413312212345	0.33138716621236464	0.3306432397284314	0.33038329430659424	0.3303042829934426	0.3301193232513614	0.3308354653301849	9.03509925199468e-11	7.264501656660478e-11	4.267211139573938e-11	8.007546138389175e-12	2.5028886978731605e-10	4.210562429333032e-12	4.3420185564030446e-11	1.0790476014072721e-10
6.103515625e-05	0.33086694348027346	8.885227266988363e-08	0.3309439334342154	0.3309681799740911	0.3305390504686547	0.3303069966020852	0.3299394949915853	0.32985718574972533	0.3296061027531876	0.3299415265454078	6.488267024519283e-08	6.654651276338979e-08	3.539926826719088e-08	2.7753484216619937e-08	4.094377230759807e-08	1.786080068935626e-08	3.2837663436141044e-08	9.23604651964344e-08
0.0001220703125	0.3329112702541137	3.3948044420485316e-07	0.3293815765743106	0.33080610727554094	0.3303777483566882	0.33030729193623826	0.3297708994999387	0.3289842469671639	0.32816599743884295	0.3289893882993506	7.192111642293758e-07	1.0261399256396858e-07	4.7595884113571777e-07	5.578584093476504e-08	8.819571221285491e-08	8.434819379587391e-08	4.960338179515487e-08	4.4491307650922236e-07
0.000244140625	0.3323941282461575	2.2837513835383014e-08	0.3286093411019543	0.33129781332997826	0.327932688508245	0.3316649670011857	0.3296477584672914	0.3294136373025317	0.32553117613362903	0.3298270505560756	9.18577719022756e-08	1.6596033475452893e-07	4.246811846932911e-08	3.617064368992424e-08	1.6234450372533574e-07	7.00406737163303e-08	4.298222726776904e-08	4.1452008028967576e-08
