h1	h2	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
9.5367431640625e-07	9.5367431640625e-07	0.8283832532001888	3.986342632860973e-13	0.8283832462958897	0.828383264055856	0.8283832838495007	0.8283833569973481	0.8283832614593866	0.8283833093147569	0.8283832383194654	0.828383065309307	4.0496179127476556e-13	4.0496179127476556e-13	4.0496179127476556e-13	4.0496179127476556e-13	4.0496179127476556e-13	4.0496179127476556e-13	4.0496179127476556e-13	4.0496179127476556e-13
9.5367431640625e-07	1.9073486328125e-06	0.8283832531551041	3.985000135474523e-13	0.8283832462443641	0.8283832640037796	0.8283832837979408	0.828383356946587	0.8283832614030072	0.8283833092524034	0.8283832382947854	0.8283830652979646	4.048254105878881e-13	4.048254105878881e-13	4.048254105878881e-13	4.048254105878881e-13	4.048254105878881e-13	4.048254105878881e-13	4.048254105878881e-13	4.048254105878881e-13
9.5367431640625e-07	3.814697265625e-06	0.8283832531485481	3.9856509847472493e-13	0.8283832462368715	0.828383263996287	0.8283832837904482	0.8283833569390945	0.8283832613911464	0.8283833092466067	0.828383238321871	0.8283830652660586	4.048915286092444e-13	4.048915286092444e-13	4.048915286092444e-13	4.048915286092444e-13	4.048915286092444e-13	4.048915286092444e-13	4.048915286092444e-13	4.048915286092444e-13
9.5367431640625e-07	7.62939453125e-06	0.8283832531608245	3.9856671420397783e-13	0.828383246250902	0.8283832640102958	0.8283832838044787	0.8283833569531248	0.8283832614047513	0.8283833092605063	0.8283832383219528	0.8283830652805851	4.0489316998499334e-13	4.0489316998499334e-13	4.0489316998499334e-13	4.0489316998499334e-13	4.0489316998499334e-13	4.0489316998499334e-13	4.0489316998499334e-13	4.0489316998499334e-13
9.5367431640625e-07	1.52587890625e-05	0.8283832531565345	3.9855784555134955e-13	0.828383246245999	0.828383264005393	0.8283832837995757	0.8283833569482218	0.8283832613998482	0.8283833092556034	0.8283832383191188	0.8283830652785159	4.0488416056010113e-13	4.0488416056010113e-13	4.0488416056010113e-13	4.0488416056010113e-13	4.0488416056010113e-13	4.0488416056010113e-13	4.0488416056010113e-13	4.0488416056010113e-13
9.5367431640625e-07	3.0517578125e-05	0.8283832531546156	3.985573358469005e-13	0.8283832462438063	0.8283832640032002	0.8283832837973832	0.8283833569460297	0.8283832613976554	0.8283833092534119	0.8283832383191166	0.8283830652763231	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13
9.5367431640625e-07	6.103515625e-05	0.8283832531546156	3.985573358469005e-13	0.8283832462438063	0.8283832640032002	0.8283832837973832	0.8283833569460297	0.8283832613976554	0.8283833092534119	0.8283832383191166	0.8283830652763231	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13	4.0488364276510534e-13
9.5367431640625e-07	0.0001220703125	0.828383253154622	3.985573319302832e-13	0.8283832462438133	0.8283832640032069	0.8283832837973901	0.8283833569460367	0.8283832613976624	0.8283833092534189	0.8283832383191146	0.8283830652763321	4.048836387863195e-13	4.048836387863195e-13	4.048836387863195e-13	4.048836387863195e-13	4.048836387863195e-13	4.048836387863195e-13	4.048836387863195e-13	4.048836387863195e-13
9.5367431640625e-07	0.000244140625	0.8283832531540889	3.9855726675503167e-13	0.828383246243809	0.8283832640025987	0.8283832837967829	0.8283833569454274	0.8283832613970533	0.8283833092528097	0.8283832383185071	0.8283830652757229	4.048835725765401e-13	4.048835725765401e-13	4.048835725765401e-13	4.048835725765401e-13	4.048835725765401e-13	4.048835725765401e-13	4.048835725765401e-13	4.048835725765401e-13
9.5367431640625e-07	0.00048828125	0.8283832531511827	3.985591257463277e-13	0.8283832462425419	0.8283832639992773	0.8283832837934616	0.828383356943383	0.828383261393727	0.8283833092494838	0.8283832383151858	0.8283830652724017	4.0488546107563453e-13	4.0488546107563453e-13	4.0488546107563453e-13	4.0488546107563453e-13	4.0488546107563453e-13	4.0488546107563453e-13	4.0488546107563453e-13	4.0488546107563453e-13
9.5367431640625e-07	0.0009765625	0.8283832531269116	3.9858694146476273e-13	0.8283832462214686	0.8283832639715388	0.8283832837672485	0.8283833569296721	0.8283832613659955	0.8283833092272589	0.8283832382874474	0.8283830652446633	4.0491371831340976e-13	4.0491371831340976e-13	4.0491371831340976e-13	4.0491371831340976e-13	4.0491371831340976e-13	4.0491371831340976e-13	4.0491371831340976e-13	4.0491371831340976e-13
