h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
1.7763568394002505e-15	0.47534074666827847	7.905507485412092e-25	0.4753407466662653	0.4753407466594354	0.4753407466527856	0.4753407466460656	0.47534074663907105	0.4753407466320994	0.47534074662505266	0.475340746618281	1.6750321956082363e-25	1.9429680303283674e-25	1.0286184213749072e-25	4.693250153878346e-26	1.0012334887418023e-25	2.957185821319928e-26	7.961802732027952e-26	2.490804682924994e-25
3.552713678800501e-15	0.4753407466704244	2.53099597792337e-24	0.4753407466631076	0.475340746649437	0.4753407466355457	0.47534074662179826	0.4753407466081793	0.47534074659425446	0.47534074658061554	0.47534074656679937	5.0349072702628e-25	5.812296195253093e-25	3.0719420545544307e-25	1.3800746191061662e-25	3.1387150725381403e-25	8.624946483054338e-26	2.4655167254276033e-25	7.60796233200186e-25
7.105427357601002e-15	0.475340746669819	8.030808555269583e-25	0.4753407466564547	0.4753407466287775	0.475340746601171	0.47534074657361136	0.4753407465460572	0.4753407465185296	0.4753407464909096	0.475340746463364	4.3760160621980355e-25	2.673835724243482e-25	6.337712496551569e-25	9.736809998888368e-26	5.231034774843241e-26	1.1598342597033969e-25	3.7833365040266025e-26	3.027619945206434e-25
1.4210854715202004e-14	0.4753407466699908	1.0574525938100849e-23	0.47534074664251325	0.47534074658775566	0.47534074653146574	0.4753407464774288	0.4753407464214881	0.4753407463668084	0.4753407463115564	0.4753407462572213	2.1831409522822614e-24	2.5054048039801366e-24	1.3431074443252644e-24	5.88982712589076e-25	1.4413419265595167e-24	3.631986652766709e-25	1.1103727743062895e-24	3.285817553268855e-24
2.842170943040401e-14	0.4753407466696532	5.468670858313413e-26	0.47534074661546044	0.47534074650501545	0.47534074639505375	0.4753407462847384	0.4753407461746227	0.4753407460642394	0.4753407459541298	0.4753407458439124	1.0823374279725875e-26	1.249277588671157e-26	6.568263493371841e-27	2.924203094266874e-27	6.948764324795438e-27	1.818284541676835e-27	5.417686808929808e-27	1.649520056393532e-26
5.684341886080802e-14	0.4753407466702271	1.1439002094278714e-25	0.4753407465605953	0.47534074634046214	0.47534074611987953	0.47534074589948067	0.4753407456790879	0.47534074545870036	0.47534074523817405	0.47534074501792206	3.428033497487901e-26	5.624518023892687e-26	1.72870655534319e-26	8.023180558798095e-27	2.2673333125683637e-26	4.688791910272995e-27	1.8145992716118176e-26	1.1075264813175064e-25
1.1368683772161603e-13	0.47534074666920745	4.855314328298246e-24	0.4753407464510412	0.475340746010823	0.4753407455696413	0.4753407451293463	0.4753407446884944	0.47534074424734873	0.4753407438064354	0.47534074336545723	1.0510268645391885e-24	1.2154043017173627e-24	6.543582404104202e-25	2.816924742378146e-25	7.158747356996514e-25	1.7122429986109137e-25	5.373615866310528e-25	1.5832342504649842e-24
2.2737367544323206e-13	0.47534074667011633	1.9427426572060803e-24	0.4753407462323081	0.475340745351347	0.4753407444694123	0.47534074358758105	0.47534074270617455	0.4753407418246351	0.47534074094336387	0.4753407400617886	7.027898414948788e-25	1.38718187365651e-24	2.7746127259678674e-25	4.041721870768677e-25	1.3600549468909469e-25	5.946131238516618e-25	1.3640869690837127e-25	1.0663470522245878e-24
4.547473508864641e-13	0.4753407466711507	8.911068252088086e-24	0.47534074579750185	0.47534074403294757	0.475340742269173	0.47534074050470176	0.47534073874518484	0.47534073697926277	0.47534073521522613	0.47534073345357886	1.9151030939899007e-24	2.1677705484071076e-24	1.2001523571688515e-24	5.108726973037191e-25	1.343513047324224e-24	3.105956705807244e-25	1.0133305136719131e-24	2.8247599651410034e-24
9.094947017729282e-13	0.4753407466699177	3.556800414893645e-23	0.4753407449205272	0.4753407413949207	0.47534073786759545	0.47534073434134505	0.4753407308154914	0.47534072728894616	0.4753407237630738	0.4753407202363839	7.6440130850981e-24	8.652580012102448e-24	4.790299666981033e-24	2.039127928786865e-24	5.362412934951099e-24	1.2397366443221026e-24	4.0445754783415485e-24	1.1274956409052913e-23
