h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
8.881784197001252e-16	4.641568068032447	1.9583497606769602e-23	4.6415680680269515	4.641568068008445	4.641568067997114	4.641568068011629	4.64156806800085	4.6415680679883495	4.6415680680239415	4.64156806798993	1.799479117055642e-23	1.1879019453659381e-23	1.1611330288603097e-23	1.1199143144404419e-23	1.2289318681635048e-23	1.3078023005482691e-23	1.4113723657707302e-23	2.2223644321745547e-23
1.7763568394002505e-15	4.641568068031779	9.079812202861402e-24	4.64156806801865	4.6415680679892075	4.641568067964531	4.641568067997682	4.641568067970234	4.641568067947643	4.641568068017236	4.641568067946252	8.343214666714116e-24	5.507660988815374e-24	5.383547952612295e-24	5.192438992563005e-24	5.697894623879137e-24	6.063574304185372e-24	6.5437728677621495e-24	1.030390591897553e-23
3.552713678800501e-15	4.641568068025455	6.847157904797425e-24	4.641568068006447	4.641568067956819	4.641568067903625	4.641568067969444	4.641568067918791	4.641568067870038	4.641568068002874	4.641568067866671	7.131463688715684e-24	5.573115373770219e-24	8.101552714776343e-24	5.9415810683420096e-24	5.3509148589628406e-24	9.701807684786075e-24	6.845693058920908e-24	2.609407544677358e-23
7.105427357601002e-15	4.6415680680273335	2.0223991873840215e-23	4.6415680679903275	4.64156806788447	4.641568067773509	4.641568067909298	4.641568067803848	4.641568067702569	4.641568067978179	4.6415680676988185	2.1063726833015034e-23	1.6460937749388354e-23	2.392901384008204e-23	1.7549250202002846e-23	1.580463896552666e-23	2.865557980504596e-23	2.0219665256648808e-23	7.70723236017636e-23
1.4210854715202004e-14	4.641568068016733	9.847505557802952e-24	4.641568067942656	4.641568067734517	4.641568067515794	4.641568067785984	4.641568067576212	4.641568067377128	4.641568067917524	4.641568067351366	1.0256390941516532e-23	8.015191905977076e-24	1.1651562077996776e-23	8.545115127495476e-24	7.695625622427628e-24	1.395303079394847e-23	9.845398832923679e-24	3.752820609085028e-23
2.842170943040401e-14	4.6415680680009705	2.4165076951843834e-22	4.641568067852601	4.641568067439733	4.641568067007864	4.6415680675386985	4.64156806712285	4.641568066722894	4.6415680678082545	4.641568066705045	2.5168452548224544e-22	1.966870981232988e-22	2.859210310380328e-22	2.096910363809566e-22	1.88845169232923e-22	3.4239743340895137e-22	2.415990719910542e-22	9.209154366320334e-22
5.684341886080802e-14	4.641568067977068	6.497618474856397e-22	4.641568067676948	4.641568066850231	4.641568065974368	4.64156806705454	4.641568066215864	4.641568065410789	4.641568067588724	4.641568065363496	6.7674107798945935e-22	5.288614330004547e-22	7.687977891917935e-22	5.638270280354841e-22	5.07775689247949e-22	9.206541710977929e-22	6.496228407654438e-22	2.476200331066683e-21
1.1368683772161603e-13	4.641568067914123	2.724605217135333e-21	4.641568067313951	4.64156806566649	4.641568063916767	4.641568066071347	4.64156806439949	4.641568062794616	4.641568067140975	4.64156806269785	2.837735516289483e-21	2.217641163559628e-21	3.2237510950508138e-21	2.3642601794672795e-21	2.1292236492694777e-21	3.860520846918286e-21	2.7240223290563735e-21	1.0383294074288713e-20
2.2737367544323206e-13	4.641568067808144	1.065795154354113e-20	4.6415680666085715	4.641568063301663	4.641568059798389	4.64156806411308	4.6415680607641	4.641568057552594	4.641568066257187	4.641568057346729	1.110048803980424e-20	8.674839170656513e-21	1.2610481233539609e-20	9.24837487303193e-21	8.328972702744673e-21	1.5101359955019767e-20	1.065567143600049e-20	4.061676326908771e-20
4.547473508864641e-13	4.641568067589319	4.4059244348685394e-20	4.641568065192773	4.641568058566401	4.641568051556135	4.641568060193919	4.6415680534899675	4.641568047055149	4.641568064483338	4.64156804666721	4.588866002414726e-20	3.586119313303929e-20	5.213086884033918e-20	3.823215058676942e-20	3.443140475771313e-20	6.242799148949806e-20	4.404981853971413e-20	1.6790692753805304e-19
9.094947017729282e-13	4.641568067161379	1.7236434461260562e-19	4.641568062363626	4.6415680490822755	4.641568035025386	4.641568052343502	4.641568038907649	4.641568026024817	4.64156806093296	4.641568025229737	1.795212089344156e-19	1.4029271592777151e-19	2.039413788089371e-19	1.4956814798880184e-19	1.3469923515226275e-19	2.4422479317645667e-19	1.723274698679342e-19	6.568693573582873e-19
1.8189894035458565e-12	4.641568066350979	7.488104229033885e-19	4.641568056731775	4.641568030049047	4.6415680018311765	4.64156803659175	4.64156800962456	4.641567983789805	4.641568053861585	4.64156798226753	7.79902320775431e-19	6.094801577452036e-19	8.859919982676732e-19	6.497758477838951e-19	5.851801395806326e-19	1.0609971051320355e-18	7.486502262385042e-19	2.8536680389510456e-18
3.637978807091713e-12	4.641568064904098	3.4061147570745512e-18	4.641568045579445	4.641567991713008	4.641567934864587	4.641568004900722	4.641567950564293	4.641567898634871	4.641568039773496	4.641567895785979	3.547542505578371e-18	2.7723430336224143e-18	4.030112733004582e-18	2.9556360812206547e-18	2.661809515476923e-18	4.826158646391955e-18	3.405386070336752e-18	1.2980482805749131e-17
7.275957614183426e-12	4.641568025558677	4.9359272797996365e-14	4.641568026009868	4.641568041030882	4.641568057905461	4.641568036977834	4.641568053239581	4.641567979069195	4.641568028449398	4.641567981787205	5.014275331859948e-14	5.014275331859948e-14	5.014275331859948e-14	5.014275331859948e-14	5.014275331859948e-14	5.014275331859948e-14	5.014275331859948e-14	5.014275331859948e-14
1.4551915228366852e-11	4.641568019729504	3.7097951424106564e-14	4.641568025912223	4.641567967000592	4.641568011462067	4.641568048127304	4.641568001741992	4.641568033531939	4.641568030832567	4.6415680392273515	3.7686807795917786e-14	3.7686807795917786e-14	3.7686807795917786e-14	3.7686807795917786e-14	3.7686807795917786e-14	3.7686807795917786e-14	3.7686807795917786e-14	3.7686807795917786e-14
2.9103830456733704e-11	4.641567391740592	2.4987958155197722e-14	4.641567705845489	4.641568025322588	4.641567522113201	4.641568016090206	4.641567653917356	4.641567210224226	4.641567969084404	4.641567315388557	1.3485455516873596e-14	9.005841775164343e-15	9.82211346345679e-15	1.0006355018140634e-14	8.361358425655033e-15	8.045616531202266e-15	8.360685134365195e-15	2.1327940002704935e-14
5.820766091346741e-11	4.641568559757149	9.568222536285713e-15	4.641568219573835	4.6415673483603275	4.641566383409562	4.641567616214486	4.641566622370507	4.641565635681632	4.641568222195671	4.641565251393236	8.7920028317288e-15	5.803922462052403e-15	5.673133286735441e-15	5.47174442344447e-15	6.0043889159293885e-15	6.38973879762245e-15	6.895767624568827e-15	1.0858161228779528e-14
1.1641532182693481e-10	4.641568260818788	1.932146598120936e-14	4.6415676985424055	4.6415659856736635	4.641563301995863	4.641566445630898	4.641564137567954	4.641561298147042	4.641567678295096	4.641560746661834	8.694967144245577e-15	5.5338883456900584e-15	6.024701883646652e-15	6.622961847223559e-15	8.329272862454128e-15	2.3449939915977423e-14	5.170695952113998e-15	1.0696491756578581e-13
2.3283064365386963e-10	4.641512115596998	1.1710072019203587e-09	4.641525351079371	4.641613611189518	4.6417375183727785	4.641588839492524	4.641666670868518	4.641756248608251	4.641549399398621	4.641673964305725	1.2196294368892118e-09	9.53119284023738e-10	1.3855349486089012e-09	1.0161346238192234e-09	9.151183489310125e-10	1.659212015918434e-09	1.1707566826399574e-09	4.462632628088786e-09
4.656612873077393e-10	4.641286357251934	2.647725712215845e-08	4.641417877937808	4.641968477152225	4.642565488137183	4.641827066962938	4.642312055552427	4.643023621345439	4.64154524343578	4.64261235182626	2.757663841973978e-08	2.1550665367214698e-08	3.1327873155599466e-08	2.2975484404765524e-08	2.0691438773490483e-08	3.7515894943774244e-08	2.6471592713442275e-08	1.0090311258707033e-07
9.313225746154785e-10	4.640960641459418	3.883248850175939e-08	4.641550701689745	4.642689466019552	4.642737855448169	4.642446623061924	4.642821845520564	4.642743947834222	4.641930356630598	4.642853281519383	2.0957046311968645e-08	1.3995511158238658e-08	1.5264036611702904e-08	1.5550356846812915e-08	1.2993953043572108e-08	1.2503274957362745e-08	1.2992906716533019e-08	3.3144644303355886e-08
1.862645149230957e-09	4.642584389437604	1.1932562292422587e-08	4.642594551647813	4.642713879926219	4.642445876383801	4.64273720369688	4.6425569482505455	4.642180030323167	4.642739922651037	4.641900593220715	1.0964536105520536e-08	7.238091093323946e-09	7.074983475819686e-09	6.823830751569553e-09	7.488093477712124e-09	7.968664602625072e-09	8.599734843351652e-09	1.3541249145515384e-08
3.725290298461914e-09	4.643215631247837	3.174427676961742e-08	4.642976797297366	4.642242376948704	4.641907905842843	4.642267782801263	4.641928081140419	4.6418104521159655	4.642771477991299	4.641916002771135	2.916903010890939e-08	1.9255543052650616e-08	1.8821626746462444e-08	1.815348344289869e-08	1.99206260992418e-08	2.119909273724209e-08	2.287793319847437e-08	3.602387736576547e-08
7.450580596923828e-09	4.643298408156864	2.097939849717788e-07	4.642554892882224	4.641797412701151	4.64188301340853	4.641739037582327	4.642001355908707	4.6421876444909955	4.642648497113105	4.641779703506	1.118582309010701e-07	2.177884517260883e-08	2.5440633750447582e-08	2.4339368677204994e-08	2.6163016608675073e-08	2.340804093901409e-08	5.468105569670565e-08	6.727299450140149e-08
