h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	mu_cv5	mu_cv6	mu_cv7	mu_cv8	var_cv1	var_cv2	var_cv3	var_cv4	var_cv5	var_cv6	var_cv7	var_cv8
0.0009765625	0.7938242889892586	5.020602102752084e-08	0.7907979740519451	0.7917361842329468	0.7924638644766446	0.7903109754908048	0.7938849998143915	0.7924205869881471	0.7907386283868615	0.7910915382336906	5.9233316217038415e-08	5.132003640671035e-08	2.756873611975928e-08	9.182437239471651e-08	9.359702929937186e-08	3.0636249038929185e-08	6.233327281338707e-08	5.624276496420956e-08
0.001953125	0.7905665468919976	2.2528137030206194e-06	0.7912517961846322	0.7928751614805378	0.7912781076223757	0.7927715213375921	0.7908278993352865	0.7913046525331151	0.7922254115659723	0.7924150995916325	1.7685652459073505e-06	1.8578491494586454e-06	2.007201097044558e-06	2.568487090007407e-06	2.4650495715634104e-06	1.8584002263623711e-06	1.730992289042882e-06	2.153943842787957e-06
0.00390625	0.7957396815059932	9.043560017934755e-07	0.7909692855807855	0.7910465414541052	0.7917999541389485	0.7903511148342581	0.7951802835657394	0.7917680158966606	0.7905146061629821	0.7909362485466125	3.345607720606885e-07	4.3700708019668964e-07	3.289647030644094e-07	1.4034413038076402e-06	2.6133056145607827e-06	3.437574326508237e-07	3.459757780361958e-07	3.480748537601338e-07
0.0078125	0.7915943855876713	1.2002807642694798e-06	0.7917010462615053	0.7913377257151105	0.7917235366443082	0.7915266371587171	0.7916405219737321	0.7914258800637973	0.7917235330579862	0.7916762038262138	1.219332839892805e-06	1.219332839892805e-06	1.219332839892805e-06	1.219332839892805e-06	1.219332839892805e-06	1.219332839892805e-06	1.219332839892805e-06	1.219332839892805e-06
0.015625	0.7915930560066725	1.6067653542158665e-06	0.7915206261266714	0.7917219991926473	0.7912874750616236	0.7917224519781476	0.7917221041956273	0.7914031111526263	0.7917220912740659	0.7916445890719718	1.632269566187547e-06	1.632269566187547e-06	1.632269566187547e-06	1.632269566187547e-06	1.632269566187547e-06	1.632269566187547e-06	1.632269566187547e-06	1.632269566187547e-06
0.03125	0.7941997505660069	5.261506574439207e-07	0.7909012956033227	0.7908480144299287	0.7914005939485764	0.7903070425047202	0.7940482804899218	0.7913827970283064	0.7904838902456899	0.7908331893690229	1.946461015635884e-07	2.54248948530451e-07	1.9139033129650667e-07	8.165164638904336e-07	1.520410617586078e-06	1.9999668143059557e-07	2.012873057871819e-07	2.0250853953803255e-07
0.0625	0.7907640763537895	9.506819090440408e-08	0.790781849192043	0.7907813967847879	0.7906614528593827	0.7907799571845141	0.7907758659431019	0.7907781719560941	0.7907757405805742	0.7907781763298171	9.65772098076486e-08	9.65772098076486e-08	9.65772098076486e-08	9.65772098076486e-08	9.65772098076486e-08	9.65772098076486e-08	9.65772098076486e-08	9.65772098076486e-08
0.125	0.7907033385093041	9.226721860065401e-11	0.7905347381912675	0.7905375721396009	0.7906782891242444	0.7905237964563059	0.7906466302044319	0.7906024627063198	0.7906233183670726	0.7905846860148971	4.474150844910084e-10	2.035501171671612e-10	9.174114017526014e-11	1.3480844691567275e-10	1.0585566441791472e-10	6.869204101215019e-11	3.1161311590062473e-10	9.389895517445099e-11
0.25	0.7906785224705142	5.37597324643183e-09	0.7901393819186937	0.7897830050132636	0.7905603604961298	0.7899937653119662	0.7905595333248414	0.7902862003766431	0.7905315029245831	0.7901896959181677	1.5463897886542113e-08	5.5829850125300314e-09	5.34948182911034e-09	5.57181731802677e-09	4.78510617157235e-09	3.6443442102525968e-09	6.8528959370145665e-09	4.794517739113875e-09
0.5	0.7907313276950971	5.215733982515126e-09	0.7879903790847042	0.7873890867955988	0.790371553118426	0.7880120844599633	0.7901879793773386	0.7889485416787918	0.7899738357761581	0.7894757099700564	4.170364324383971e-08	3.3091509109633316e-08	4.8029551532638585e-09	7.635192248193709e-08	6.4141182448243376e-09	5.921183908783181e-09	1.2112004972185143e-08	2.846234590887075e-08
1.0	0.8024648848294959	0.00013251595976552624	0.7498353900485273	0.7466402412173655	0.7998883995154931	0.7527435161482167	0.7906061652216442	0.7634752926175169	0.7965498703862296	0.7672720195794764	0.00014246929218878672	0.00014308877311980424	0.00012885438285990106	0.00014371698388482667	0.0001391965699138387	0.00010956843577069547	0.00013898012934457246	0.00014031241464494603
