h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.001	9800.415268551198	1.0179797734996477e-07	9800.420871773455	9800.41652291674	9800.415064776122	9800.418535087207	1.9628827257973582e-05	1.95900355160667e-07	1.9543638864431642e-07	1.294979193908452e-05
0.01	9800.40291946651	0.0003100328747177223	9800.515330186241	9800.448552283713	9800.392605780311	9800.532860178502	0.0664212117904249	0.000662902636873734	0.0006620681550186997	0.03526289403458762
0.025	9800.414568637823	1.6777384741795903e-06	9800.802659082206	9800.455931990577	9800.413855358227	9800.431398233195	0.0002785917134057124	2.780403862919142e-06	2.7785377712536805e-06	0.00025956141078242777
0.05	9800.383752660377	0.001756549204242858	9801.303895672105	9800.561854747568	9800.358387240198	9800.80712830045	0.33194025829305335	0.0033128405012023423	0.0033050622404780187	0.22871424234228968
0.075	9800.506703196954	0.002900433753070034	9802.1463952529	9800.628774253395	9800.52634246123	9800.016635812797	0.35533649671116146	0.006639779654355838	0.006639779654354907	0.355336496711184
0.1	9800.56672306255	0.008956302546241312	9801.209981843282	9800.516247593076	9800.66117343935	9800.285956963113	0.7437538884486303	0.029136970077508276	0.029136970077508016	0.7437538884486286
0.125	9800.385297999554	0.0021909479572586386	9806.03432079522	9801.029417806127	9800.362588087191	9800.879732204929	0.37229337168457777	0.0037155666645174268	0.0037112764344284697	0.32750994654009014
0.15	9800.166573214192	0.1197169353126891	9802.51670330312	9801.079671343963	9799.963439396217	9802.760608852495	25.49699628616241	0.2544672072924897	0.25411617423294247	13.697840332572126
0.175	9800.480384278537	0.002017478235442028	9808.23499274522	9801.220651445514	9800.48796512884	9799.79765942804	0.3087691508374211	0.003463238530701918	0.0034632385306242485	0.3087691508393181
0.2	9800.238231365116	0.06559627391706012	9806.567239161892	9801.349311682852	9800.097611858075	9802.649339437725	12.253566905001456	0.1222933909806299	0.12201148477930332	8.65876764706681
