h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.001	9800.421875	3.123068950117158e-07	9800.41796875	9800.41796875	9800.416015625	9800.416015625	8.523381893610349e-07	6.203651992109371e-06	6.2036515373620205e-06	8.523381893610349e-07
0.002	9800.4541015625	2.123420699717826e-06	9800.41796875	9800.4228515625	9800.423828125	9800.416015625	4.526310476649087e-06	5.230859460425563e-05	5.230884926277213e-05	4.5263241190696135e-06
0.003	9800.4111328125	4.53350412499276e-06	9800.4228515625	9800.4169921875	9800.423828125	9800.4140625	8.957329555414617e-06	0.00011671691754600033	0.00011671645188471302	8.957210411608685e-06
0.004	9800.390625	6.10031975156744e-06	9800.421875	9800.4365234375	9800.4248046875	9800.416015625	1.2965217138116714e-05	0.00015047223132569343	0.00015047186752781272	1.2965217138116714e-05
0.005	9800.373046875	2.4773178665782325e-05	9800.4248046875	9800.421875	9800.431640625	9800.412109375	5.2444112952798605e-05	0.0006125535001046956	0.0006125520449131727	5.244428393780254e-05
0.006	9800.4111328125	1.887390317278914e-05	9800.4248046875	9800.43359375	9800.4072265625	9800.4111328125	3.490146991680376e-05	0.0005037222290411592	0.0005037302034907043	3.490197195787914e-05
0.007	9800.3798828125	1.8689868738874793e-05	9800.4248046875	9800.4033203125	9800.42578125	9800.4140625	3.490899325697683e-05	0.0004948615678586066	0.0004948535934090614	3.490899325697683e-05
0.008	9800.4443359375	0.0002174183464376256	9800.443359375	9800.4560546875	9800.4736328125	9800.3984375	0.0004346354107838124	0.00556002976372838	0.00556005397811532	0.00043463738984428346
0.009	9800.2119140625	2.2961030481383204e-05	9800.4296875	9800.435546875	9800.4609375	9800.41015625	3.9897000533528626e-05	0.000627662637270987	0.0006276590283960104	3.989767355960794e-05
0.01	9800.5390625	4.62557036371436e-05	9800.43359375	9800.43359375	9800.4365234375	9800.4091796875	8.255070133600384e-05	0.0012572095729410648	0.0012572389096021652	8.255070133600384e-05
