h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.05	9395.974609375	0.008850033394992352	9396.2001953125	9396.091796875	9395.77734375	9396.4130859375	0.9455955624580383	0.024748308584094048	0.024747801944613457	0.9455893635749817
0.1	9396.1015625	0.12598296999931335	9396.5029296875	9395.5537109375	9396.37890625	9394.2373046875	9.115324974060059	0.3864258825778961	0.3864258825778961	9.115361213684082
0.2	9395.5537109375	0.7096551656723022	9398.9970703125	9397.85546875	9394.9638671875	9401.3525390625	76.42616271972656	1.960985541343689	1.9609190225601196	76.42657470703125
0.3	9395.4873046875	1.881786584854126	9398.853515625	9398.703125	9394.265625	9404.7138671875	195.03961181640625	5.325290679931641	5.325290679931641	195.04771423339844
0.4	9395.9921875	1.001202940940857	9411.2509765625	9399.71484375	9395.64453125	9400.0556640625	121.9873275756836	2.6155853271484375	2.6157517433166504	121.99986267089844
0.5	9395.3154296875	4.447170257568359	9404.138671875	9400.9033203125	9393.6142578125	9409.4755859375	480.99090576171875	12.268912315368652	12.26948356628418	480.9912109375
0.6	9394.9638671875	7.044353485107422	9403.3916015625	9401.6953125	9392.857421875	9413.1123046875	743.9181518554688	19.710094451904297	19.709327697753906	743.9309692382812
0.7	9394.96484375	9.000447273254395	9402.52734375	9402.099609375	9392.369140625	9415.2255859375	932.4457397460938	25.349519729614258	25.347763061523438	932.4979858398438
0.8	9393.9150390625	16.311967849731445	9395.6494140625	9402.1572265625	9390.728515625	9419.8505859375	1501.2823486328125	47.39570617675781	47.3952522277832	1501.302978515625
0.9	9389.265625	86.74789428710938	9377.5517578125	9401.63671875	9382.10546875	9429.5927734375	4997.29248046875	274.8024597167969	274.8036193847656	4997.29248046875
1.0	9392.7255859375	28.856273651123047	9387.5048828125	9401.4580078125	9388.4814453125	9422.5634765625	2212.754150390625	87.5698013305664	87.57103729248047	2212.765625
1.25	9394.19140625	9.452803611755371	9392.1171875	9399.517578125	9391.7353515625	9412.1640625	771.8612060546875	28.285099029541016	28.284929275512695	771.8558349609375
1.5	9397.6337890625	1.0879013538360596	9423.5791015625	9399.79296875	9398.27734375	9389.0185546875	133.4149169921875	2.9182255268096924	2.917532205581665	133.38406372070312
1.75	9400.404296875	7.091302871704102	9450.3193359375	9403.0537109375	9402.580078125	9379.1982421875	789.206298828125	19.447423934936523	19.4456787109375	789.21728515625
2.0	9405.03515625	44.03911590576172	9427.8125	9400.2724609375	9411.7490234375	9393.1025390625	2426.31640625	140.10845947265625	140.1086883544922	2426.316162109375
