h	mu	var	mu_cv1	mu_cv2	mu_cv3	mu_cv4	var_cv1	var_cv2	var_cv3	var_cv4
0.05	9396.416015625	3.036742687225342	9395.9072265625	9396.5693359375	9396.5947265625	9396.5947265625	3.239192247390747	3.239192247390747	3.239192247390747	3.239192247390747
0.1	9395.123046875	8.835140228271484	9395.96875	9394.7822265625	9394.8701171875	9394.8701171875	9.424149513244629	9.424149513244629	9.424149513244629	9.424149513244629
0.2	9400.9013671875	265.16571044921875	9396.1435546875	9402.3115234375	9402.5732421875	9402.5732421875	282.8434143066406	282.8434143066406	282.8434143066406	282.8434143066406
0.3	9402.9619140625	542.2357177734375	9396.140625	9405.064453125	9405.3232421875	9405.3232421875	578.3848266601562	578.3848266601562	578.3848266601562	578.3848266601562
0.4	9406.0234375	986.498046875	9396.9521484375	9408.3330078125	9409.4033203125	9409.404296875	1052.2646484375	1052.2646484375	1052.2646484375	1052.2646484375
0.5	9408.62890625	1705.7081298828125	9396.568359375	9412.1904296875	9412.8779296875	9412.87890625	1819.4219970703125	1819.4219970703125	1819.4219970703125	1819.4219970703125
0.6	9410.54296875	2294.210693359375	9396.5283203125	9414.7822265625	9415.4306640625	9415.4306640625	2447.157958984375	2447.157958984375	2447.157958984375	2447.157958984375
0.7	9411.4951171875	2631.501708984375	9396.46875	9416.1142578125	9416.701171875	9416.701171875	2806.93505859375	2806.93505859375	2806.93505859375	2806.93505859375
0.8	9411.2490234375	2726.570068359375	9395.857421875	9416.3955078125	9416.37109375	9416.3720703125	2908.341552734375	2908.341552734375	2908.341552734375	2908.341552734375
0.9	9408.1962890625	3345.5947265625	9392.3935546875	9415.787109375	9412.30078125	9412.3017578125	3568.634033203125	3568.634033203125	3568.634033203125	3568.634033203125
1.0	9408.9287109375	2426.156982421875	9394.783203125	9414.376953125	9413.27734375	9413.27734375	2587.900634765625	2587.900634765625	2587.900634765625	2587.900634765625
1.25	9404.529296875	986.238525390625	9395.4248046875	9407.869140625	9407.412109375	9407.412109375	1051.98779296875	1051.98779296875	1051.98779296875	1051.98779296875
1.5	9406.896484375	1018.0601196289062	9397.857421875	9408.591796875	9410.5693359375	9410.5693359375	1085.9307861328125	1085.9307861328125	1085.9307861328125	1085.9307861328125
1.75	9416.623046875	3407.971435546875	9400.2392578125	9419.177734375	9423.5341796875	9423.53515625	3635.169677734375	3635.169677734375	3635.169677734375	3635.169677734375
2.0	9412.18359375	1464.3121337890625	9402.3115234375	9411.1884765625	9417.6171875	9417.6181640625	1561.93310546875	1561.93310546875	1561.93310546875	1561.93310546875
